주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,554,456,381,228,213
영업이익,-75,-46,-43,-8,13
영업이익(발표기준),-75,-46,-43,-8,13
세전계속사업이익,-80,-56,-136,-21,18
당기순이익,-91,-56,-135,-21,18
  당기순이익(지배),-91,-56,-135,-21,18
  당기순이익(비지배),,,,,
자산총계,351,348,248,127,143
부채총계,211,180,185,64,63
자본총계,140,168,63,62,81
  자본총계(지배),140,168,63,62,81
  자본총계(비지배),,,,,
자본금,19,44,45,48,48
영업활동현금흐름,-128,8,-37,48,7
투자활동현금흐름,-16,-18,2,18,6
재무활동현금흐름,79,54,-19,-61,-2
CAPEX,14,3,2,2,0
FCF,-143,5,-39,46,7
이자발생부채,91,64,79,2,0
영업이익률,-13.58,-10.13,-11.26,-3.31,5.98
순이익률,-16.52,-12.37,-35.44,-9.39,8.26
ROE(%),-49.34,-36.69,-117.21,-34.16,24.68
ROA(%),-23.66,-16.14,-45.38,-11.41,13.05
부채비율,151.04,107.44,293.30,103.91,77.72
자본유보율,844.74,373.01,86.69,73.59,112.04
EPS(원),"-1,388",-700,"-1,514",-232,183
PER(배),N/A,N/A,N/A,N/A,4.03
BPS(원),"2,285","2,022",698,646,838
PBR(배),1.62,0.91,3.37,1.14,0.88
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,591,822","8,762,678","9,047,578","9,609,200","9,609,200"
