주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,134,137,116,164
영업이익,,-46,-65,-9,12
영업이익(발표기준),,-46,-65,-9,12
세전계속사업이익,,-71,-98,-102,12
당기순이익,,-71,-98,-102,12
  당기순이익(지배),,-71,-98,-102,12
  당기순이익(비지배),,,,,
자산총계,,124,85,71,352
부채총계,,78,272,112,18
자본총계,,46,-187,-41,334
  자본총계(지배),,46,-187,-41,334
  자본총계(비지배),,,,,
자본금,,9,11,22,52
영업활동현금흐름,,-26,-45,-18,-27
투자활동현금흐름,,-15,-2,-1,-139
재무활동현금흐름,,79,5,42,256
CAPEX,,1,0,5,6
FCF,,-26,-45,-23,-33
이자발생부채,,32,81,53,3
영업이익률,,-34.38,-47.86,-7.42,7.21
순이익률,,-52.99,-72.03,-88.34,7.10
ROE(%),,,,89.77,7.95
ROA(%),,,,-131.45,5.50
부채비율,,171.36,-145.24,-273.74,5.50
자본유보율,,430.73,"-1,761.92",-285.25,538.56
EPS(원),,"-1,536","-1,817","-1,803",139
PER(배),,,,,109.23
BPS(원),,841,"-3,377",-597,"3,227"
PBR(배),,0.00,0.00,0.00,4.71
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),,,,0.00,
발행주식수(보통주),"3,374,997","3,374,997","3,374,997","6,527,683","10,353,956"
