주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,400,434,630,614,426
영업이익,23,24,19,-101,14
영업이익(발표기준),23,24,19,-101,14
세전계속사업이익,26,-112,-63,"-1,667",-75
당기순이익,26,-66,-60,"-1,795",-867
  당기순이익(지배),26,-66,-60,"-1,795",-867
  당기순이익(비지배),,,,,
자산총계,275,701,719,"4,710",310
부채총계,102,439,472,"3,580",143
자본총계,173,261,247,"1,130",167
  자본총계(지배),173,261,247,"1,130",167
  자본총계(비지배),,,,,
자본금,64,106,112,157,166
영업활동현금흐름,48,14,-43,76,-61
투자활동현금흐름,-55,-69,-72,"-1,983",230
재무활동현금흐름,50,290,-18,"2,043",-420
CAPEX,13,13,19,35,6
FCF,35,1,-61,41,-67
이자발생부채,29,174,165,426,59
영업이익률,5.71,5.54,2.97,-16.39,3.23
순이익률,6.49,-15.27,-9.60,-292.34,-203.48
ROE(%),16.44,,-23.79,-260.78,-134.23
ROA(%),10.59,,-8.52,-66.13,-34.58
부채비율,58.99,168.13,191.07,316.95,85.81
자본유보율,126.39,120.77,92.12,593.28,12.41
EPS(원),81,-181,-114,"-2,453","-1,064"
PER(배),10.26,N/A,N/A,N/A,N/A
BPS(원),538,495,442,"1,435",201
PBR(배),1.54,3.01,3.48,3.58,19.32
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"32,188,175","52,788,688","55,950,318","78,724,637","83,006,958"
