주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,45,57,123,186,232
영업이익,-42,-52,-136,-142,-77
영업이익(발표기준),-42,-52,-136,-142,-77
세전계속사업이익,-44,-96,-160,-155,-46
당기순이익,-44,-96,-159,-151,-49
  당기순이익(지배),-44,-96,-158,-150,-50
  당기순이익(비지배),,,0,-1,2
자산총계,102,359,470,579,525
부채총계,274,77,345,400,372
자본총계,-172,283,126,179,153
  자본총계(지배),-172,283,124,152,124
  자본총계(비지배),,,1,26,30
자본금,4,59,60,95,95
영업활동현금흐름,-72,-82,-139,-91,-48
투자활동현금흐름,20,-51,-234,6,-51
재무활동현금흐름,76,316,179,192,-17
CAPEX,5,46,83,6,12
FCF,-77,-128,-222,-96,-60
이자발생부채,177,49,206,251,249
영업이익률,-94.79,-92.67,-110.87,-76.27,-33.10
순이익률,-98.54,-170.43,-128.95,-81.09,-21.00
ROE(%),28.00,-174.14,-77.93,-108.55,-36.56
ROA(%),-48.39,-41.77,-38.28,-28.79,-8.80
부채비율,-159.39,27.15,274.49,224.14,242.37
자본유보율,"-4,322.92",396.43,124.42,105.49,54.05
EPS(원),-517,-892,"-1,149","-1,033",-263
PER(배),,N/A,N/A,N/A,N/A
BPS(원),"-1,826","2,064",899,794,644
PBR(배),0.00,3.18,5.18,4.35,4.87
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,855,410","13,532,159","13,655,194","18,906,280","18,906,280"
