주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,588,639,485,467,"1,491","1,961","2,579"
영업이익,1,13,14,-86,42,188,233
영업이익(발표기준),1,13,14,-86,42,,
세전계속사업이익,-128,-154,83,-345,-230,183,217
당기순이익,-133,-155,82,-338,-250,148,175
  당기순이익(지배),-133,-155,82,-339,-224,145,171
  당기순이익(비지배),0,0,,2,-26,,
자산총계,"1,111","1,691","1,865","2,991","5,464","3,684","3,941"
부채총계,292,780,802,"1,657","1,762","1,401","1,482"
자본총계,819,911,"1,063","1,334","3,702","2,283","2,459"
  자본총계(지배),816,911,"1,063","1,293","3,352","2,240","2,413"
  자본총계(비지배),3,,,42,351,,
자본금,324,382,419,642,"1,075",928,928
영업활동현금흐름,6,-215,115,49,46,528,515
투자활동현금흐름,-80,-554,-222,-734,-609,-139,-155
재무활동현금흐름,-9,800,165,891,"1,427",-2,-11
CAPEX,10,12,123,83,16,50,50
FCF,-3,-228,-8,-34,30,219,227
이자발생부채,180,627,526,"1,362","1,138",,
영업이익률,0.17,2.01,2.89,-18.39,2.81,9.61,9.04
순이익률,-22.67,-24.20,16.99,-72.28,-16.75,7.55,6.79
ROE(%),-17.41,-17.90,8.35,-28.82,-9.65,5.19,7.35
ROA(%),-11.34,-11.03,4.64,-13.91,-5.91,3.24,4.59
부채비율,35.62,85.63,75.48,124.21,47.59,61.37,60.27
자본유보율,151.52,140.15,162.93,107.87,216.20,,
EPS(원),-213,-198,70,-245,-123,65,76
PER(배),N/A,N/A,17.27,N/A,N/A,38.68,32.82
BPS(원),"1,182",801,875,776,"1,509","1,000","1,077"
PBR(배),1.13,2.11,1.39,2.69,2.05,2.51,2.33
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"69,049,519","81,355,671","89,196,222","128,487,155","215,043,861",,
