주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,71,63,111,122,184
영업이익,22,8,38,34,54
영업이익(발표기준),22,8,38,34,54
세전계속사업이익,22,8,40,-18,49
당기순이익,19,8,33,-18,44
  당기순이익(지배),19,8,33,-18,44
  당기순이익(비지배),,,,,
자산총계,63,75,121,237,299
부채총계,15,15,28,40,34
자본총계,48,59,93,197,265
  자본총계(지배),48,59,93,197,265
  자본총계(비지배),,,,,
자본금,2,2,2,55,57
영업활동현금흐름,11,6,50,-4,80
투자활동현금흐름,-6,-17,-4,-54,-31
재무활동현금흐름,-1,,-2,-6,-5
CAPEX,5,4,3,14,18
FCF,6,2,47,-17,62
이자발생부채,10,10,13,29,6
영업이익률,31.14,12.54,34.22,28.10,29.46
순이익률,27.01,12.32,29.86,-14.90,24.15
ROE(%),49.65,,43.50,-12.49,19.20
ROA(%),34.94,,33.89,-10.13,16.56
부채비율,30.89,25.60,30.11,20.07,12.76
자본유보율,"2,579.28","3,121.07","4,776.32",268.65,371.88
EPS(원),35,14,60,-33,80
PER(배),,,,N/A,28.43
BPS(원),88,109,170,360,463
PBR(배),,,,7.15,4.89
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"54,740,000","54,740,000","54,740,000","54,740,000","57,223,739"
