주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,805,"1,073","1,237","1,709","2,210","2,492","2,784"
영업이익,214,260,270,282,375,424,477
영업이익(발표기준),214,260,270,282,375,,
세전계속사업이익,233,258,309,354,420,508,576
당기순이익,183,197,239,293,325,403,458
  당기순이익(지배),145,144,179,203,211,283,317
  당기순이익(비지배),38,53,60,90,114,,
자산총계,"2,134","2,329","3,010","3,618","4,541","4,132","4,429"
부채총계,761,795,862,"1,203","1,801","1,196","1,227"
자본총계,"1,373","1,534","2,148","2,415","2,739","2,936","3,202"
  자본총계(지배),936,"1,017","1,265","1,293","1,362","1,683","1,949"
  자본총계(비지배),447,,883,"1,122","1,378",,
자본금,67,67,67,67,68,67,67
영업활동현금흐름,544,263,262,469,834,312,357
투자활동현금흐름,134,-272,-610,5,-64,-89,-100
재무활동현금흐름,-25,-32,346,-279,-90,-45,-51
CAPEX,11,19,24,55,15,80,90
FCF,533,244,238,414,819,248,282
이자발생부채,1,20,50,69,44,,
영업이익률,26.59,24.26,21.80,16.50,16.96,17.01,17.13
순이익률,22.77,18.37,19.32,17.16,14.69,16.17,16.45
ROE(%),17.03,14.79,15.71,15.90,15.89,18.59,17.46
ROA(%),9.81,8.83,8.96,8.85,7.96,9.29,10.70
부채비율,55.41,51.84,40.15,49.83,65.76,40.74,38.32
자본유보율,"1,300.28","1,472.36","1,863.31","2,044.01","2,071.52",,
EPS(원),"1,075","1,072","1,329","1,532","1,600","2,135","2,391"
PER(배),23.34,16.33,11.25,11.62,12.56,8.22,7.34
BPS(원),"6,948","7,607","9,497","10,633","10,397","12,850","14,881"
PBR(배),3.61,2.30,1.57,1.67,1.93,1.37,1.18
현금DPS(원),250,260,230,340,390,390,390
현금배당수익률,1.00,1.49,1.54,1.91,1.94,2.22,2.22
현금배당성향(%),23.25,24.06,17.11,20.34,24.22,18.27,16.31
발행주식수(보통주),"11,886,628","11,886,628","12,682,476","12,362,476","13,257,185",,
