주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,"1,359","1,469","1,735","2,336","3,987"
영업이익,87,36,147,236,478
영업이익(발표기준),87,36,147,236,478
세전계속사업이익,25,-63,88,201,425
당기순이익,27,-94,86,209,346
  당기순이익(지배),27,-94,86,209,346
  당기순이익(비지배),,,,,
자산총계,"4,703","4,524","4,710","5,481","6,379"
부채총계,"1,766","1,824","1,909","2,475","3,059"
자본총계,"2,936","2,700","2,800","3,006","3,320"
  자본총계(지배),"2,936","2,700","2,800","3,006","3,320"
  자본총계(비지배),,,,,
자본금,167,170,170,179,183
영업활동현금흐름,-47,143,279,362,932
투자활동현금흐름,-10,-73,-345,-449,-163
재무활동현금흐름,12,-35,83,236,-224
CAPEX,11,72,305,420,111
FCF,-58,71,-26,-57,821
이자발생부채,"1,442","1,470","1,619","1,930","1,810"
영업이익률,6.38,2.43,8.49,10.12,11.99
순이익률,2.00,-6.39,4.96,8.96,8.67
ROE(%),0.85,-3.33,3.13,7.21,10.93
ROA(%),0.55,-2.04,1.86,4.11,5.83
부채비율,60.16,67.55,68.19,82.35,92.15
자본유보율,"1,656.17","1,483.46","1,534.97","1,577.60","1,740.18"
EPS(원),73,-250,229,557,919
PER(배),765.55,N/A,165.66,416.35,135.40
BPS(원),"7,830","7,191","7,452","7,998","8,836"
PBR(배),7.09,8.01,5.09,28.98,14.08
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00
발행주식수(보통주),"37,508,488","37,574,551","37,600,142","37,619,482","37,645,011"
