주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,,,,49
영업이익,-127,-167,-232,-210,-242
영업이익(발표기준),-127,-167,-232,-210,-242
세전계속사업이익,-122,-164,-227,-208,-239
당기순이익,-122,-164,-227,-208,-237
  당기순이익(지배),-122,-164,-227,-205,-228
  당기순이익(비지배),,,,-3,-8
자산총계,157,432,205,608,576
부채총계,11,38,31,39,35
자본총계,145,394,174,570,541
  자본총계(지배),145,394,174,566,516
  자본총계(비지배),,,,4,25
자본금,38,48,49,58,60
영업활동현금흐름,-126,-138,-240,-198,-244
투자활동현금흐름,-75,-251,204,-391,193
재무활동현금흐름,15,412,0,599,190
CAPEX,0,0,0,0,1
FCF,-126,-138,-240,-199,-245
이자발생부채,0,0,8,11,9
영업이익률,,,,,-496.18
순이익률,,,,,-484.68
ROE(%),-62.74,-60.87,-79.94,,-42.25
ROA(%),-58.19,-55.76,-71.25,,-39.99
부채비율,7.88,9.62,18.04,6.76,6.56
자본유보율,243.93,692.36,228.47,857.13,664.46
EPS(원),"-1,636","-2,046","-2,339","-2,041","-1,974"
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,921","4,074","1,786","4,908","4,276"
PBR(배),15.88,4.88,17.08,6.94,7.09
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,566,192","8,536,666","8,625,566","8,843,589","8,883,462"
