주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,473,663,843,"1,532","1,018"
영업이익,34,37,55,235,-92
영업이익(발표기준),34,37,55,235,-92
세전계속사업이익,33,31,42,226,-97
당기순이익,28,26,35,182,-71
  당기순이익(지배),28,26,35,182,-71
  당기순이익(비지배),,,,,
자산총계,202,416,572,"1,477","1,242"
부채총계,148,360,470,680,511
자본총계,54,56,102,797,731
  자본총계(지배),54,56,102,797,731
  자본총계(비지배),,,,,
자본금,10,10,32,48,49
영업활동현금흐름,30,9,-27,-155,155
투자활동현금흐름,-10,-91,-110,-15,-204
재무활동현금흐름,11,113,128,612,-123
CAPEX,2,85,112,19,78
FCF,28,-75,-139,-173,76
이자발생부채,58,194,316,428,322
영업이익률,7.18,5.65,6.51,15.37,-9.05
순이익률,5.88,3.85,4.12,11.86,-6.98
ROE(%),70.83,,43.92,40.43,-9.30
ROA(%),17.82,,7.04,17.74,-5.23
부채비율,275.50,641.62,459.89,85.38,69.88
자본유보율,438.40,461.12,278.04,"1,543.16","1,390.17"
EPS(원),463,357,459,"2,317",-727
PER(배),,,,12.00,N/A
BPS(원),897,779,"1,337","8,225","7,446"
PBR(배),0.00,0.00,0.00,3.38,1.85
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,000,000","6,000,000","6,439,980","9,688,732","9,833,482"
