주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,440","3,671","2,771","2,451","1,863"
영업이익,-9,86,-55,178,-51
영업이익(발표기준),-9,86,-55,178,-51
세전계속사업이익,-106,123,23,122,54
당기순이익,-157,82,-6,83,25
  당기순이익(지배),-157,82,-6,83,25
  당기순이익(비지배),,,,,
자산총계,"2,732","3,129","2,372","2,607","2,541"
부채총계,686,"1,028",322,484,451
자본총계,"2,046","2,102","2,050","2,124","2,090"
  자본총계(지배),"2,046","2,102","2,050","2,124","2,090"
  자본총계(비지배),,,,,
자본금,61,61,61,61,61
영업활동현금흐름,-222,-322,724,309,98
투자활동현금흐름,-14,-37,-13,-326,2
재무활동현금흐름,-130,-12,-234,-55,-32
CAPEX,16,14,18,4,10
FCF,-238,-336,706,305,87
이자발생부채,153,173,8,40,89
영업이익률,-0.27,2.35,-2.00,7.25,-2.73
순이익률,-4.55,2.24,-0.21,3.38,1.33
ROE(%),-7.23,3.97,-0.28,3.97,1.18
ROA(%),-5.16,2.81,-0.21,3.33,0.96
부채비율,33.50,48.90,15.72,22.78,21.57
자본유보율,"3,147.60","3,246.17","3,162.99","3,287.81","3,210.11"
EPS(원),"-1,285",675,-48,680,203
PER(배),N/A,7.96,N/A,24.28,44.66
BPS(원),"16,791","17,245","16,823","17,425","17,151"
PBR(배),0.43,0.31,0.30,0.95,0.53
현금DPS(원),200,400,100,600,300
현금배당수익률,2.77,7.45,1.96,3.64,3.30
현금배당성향(%),-15.57,59.26,-207.97,88.28,147.54
발행주식수(보통주),"12,188,730","12,188,730","12,188,730","12,188,730","12,188,730"
