주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"7,144","7,890","6,208","4,293","6,939","7,601","7,677"
영업이익,95,545,96,-208,665,689,766
영업이익(발표기준),95,545,96,-208,665,,
세전계속사업이익,215,380,106,10,"4,210","4,150","2,830"
당기순이익,202,283,95,-14,"3,508","3,442","2,348"
  당기순이익(지배),202,283,95,-14,"3,508","3,442","2,348"
  당기순이익(비지배),,,,,,,
자산총계,"6,320","6,832","6,802","6,789","11,487","14,780","17,190"
부채총계,"3,791","4,236","4,085","4,117","4,809","4,660","4,720"
자본총계,"2,529","2,596","2,717","2,672","6,678","10,120","12,470"
  자본총계(지배),"2,529","2,596","2,717","2,672","6,678",,
  자본총계(비지배),,,,,,,
자본금,454,454,454,454,454,450,450
영업활동현금흐름,400,178,2,142,443,-180,20
투자활동현금흐름,-136,-96,-290,181,-332,"3,500","2,090"
재무활동현금흐름,-238,-53,286,-247,-147,0,0
CAPEX,64,49,126,55,38,40,40
FCF,336,129,-123,87,405,-220,-20
이자발생부채,"2,425","2,456","2,871","2,707","2,391",,
영업이익률,1.33,6.91,1.55,-4.84,9.59,9.06,9.98
순이익률,2.83,3.59,1.53,-0.32,50.56,45.28,30.59
ROE(%),8.08,11.04,,-0.50,75.04,,
ROA(%),3.17,4.30,,-0.20,38.39,26.21,14.69
부채비율,149.90,163.17,150.37,154.06,72.01,46.05,37.85
자본유보율,460.15,439.84,459.27,452.81,"1,256.97",,
EPS(원),222,311,104,-15,"3,860","3,787","2,583"
PER(배),8.79,8.90,21.21,N/A,1.47,1.29,1.89
BPS(원),"2,933","3,011","3,151","3,099","7,347",,
PBR(배),0.67,0.92,0.70,0.82,0.77,,
현금DPS(원),,,,,,0,0
현금배당수익률,,,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"90,895,434","90,895,434","90,895,434","90,895,434","90,895,434",,
