주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,645,"1,002","1,008",783,937
영업이익,-8,22,-41,-22,12
영업이익(발표기준),-8,22,-41,-22,12
세전계속사업이익,-25,47,-42,-93,105
당기순이익,-26,45,-38,-88,95
  당기순이익(지배),-26,45,-36,-83,86
  당기순이익(비지배),0,0,-2,-5,9
자산총계,"1,189","1,201","1,179","1,075","1,466"
부채총계,295,265,352,339,655
자본총계,893,936,827,736,811
  자본총계(지배),888,932,826,738,805
  자본총계(비지배),5,,1,-3,6
자본금,69,70,70,70,70
영업활동현금흐름,-25,62,46,47,42
투자활동현금흐름,-113,-136,70,18,-360
재무활동현금흐름,111,-5,-135,-48,316
CAPEX,11,36,90,130,394
FCF,-36,26,-44,-83,-352
이자발생부채,135,136,196,169,517
영업이익률,-1.27,2.20,-4.10,-2.87,1.28
순이익률,-4.01,4.52,-3.76,-11.18,10.19
ROE(%),-2.96,4.99,-4.06,-10.56,11.20
ROA(%),-2.36,3.79,-3.18,-7.76,7.51
부채비율,33.06,28.34,42.62,46.13,80.84
자본유보율,"1,251.33","1,312.17","1,167.81","1,021.04","1,112.52"
EPS(원),-189,327,-255,-592,617
PER(배),N/A,9.78,N/A,N/A,5.00
BPS(원),"6,758","7,040","6,234","5,575","6,036"
PBR(배),0.49,0.45,0.46,0.52,0.51
현금DPS(원),0,300,150,150,150
현금배당수익률,0.00,9.39,5.28,5.20,4.86
현금배당성향(%),0.00,87.52,-55.71,-24.05,23.13
발행주식수(보통주),"13,864,500","13,963,509","13,963,509","13,963,509","14,049,331"
