주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,69,81,85,116,162
영업이익,29,47,54,65,72
영업이익(발표기준),29,47,54,65,72
세전계속사업이익,29,47,54,66,72
당기순이익,23,36,42,51,53
  당기순이익(지배),23,36,42,51,53
  당기순이익(비지배),0,0,0,0,0
자산총계,179,449,532,656,642
부채총계,16,35,79,167,111
자본총계,163,415,453,488,531
  자본총계(지배),163,415,453,488,531
  자본총계(비지배),,,,,
자본금,50,68,68,68,68
영업활동현금흐름,3,-177,-47,-37,74
투자활동현금흐름,-4,-9,-9,1,-4
재무활동현금흐름,-2,239,47,69,-109
CAPEX,2,1,1,0,2
FCF,,,,,
이자발생부채,0,0,0,0,0
영업이익률,42.60,57.59,63.18,56.68,44.62
순이익률,33.51,44.51,49.46,43.96,32.67
ROE(%),15.13,,9.73,10.79,10.37
ROA(%),13.63,,8.61,8.55,8.15
부채비율,9.87,8.42,17.38,34.22,20.82
자본유보율,225.65,514.10,571.18,638.36,714.70
EPS(원),232,281,313,376,390
PER(배),,17.71,13.73,13.96,14.23
BPS(원),"1,628","3,070","3,356","3,668","4,014"
PBR(배),0.00,1.62,1.28,1.43,1.38
현금DPS(원),0,73,89,38,42
현금배당수익률,,1.47,2.07,0.72,0.76
현금배당성향(%),0.00,14.00,14.72,9.97,10.52
발행주식수(보통주),"10,000,000","13,500,000","13,500,000","13,500,000","13,657,000"
