주요재무정보,"2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,546","2,657","4,458","4,828","5,430","6,635"
영업이익,169,316,941,"1,108","1,290","1,640"
영업이익(발표기준),169,316,941,,,
세전계속사업이익,192,313,"1,004","1,152","1,343","1,715"
당기순이익,150,223,767,879,"1,028","1,302"
  당기순이익(지배),150,223,767,890,"1,050","1,302"
  당기순이익(비지배),,,,,,
자산총계,"2,239","2,686","4,133","5,025","6,047","7,441"
부채총계,367,512,"1,242","1,336","1,404","1,600"
자본총계,"1,873","2,174","2,891","3,689","4,643","5,841"
  자본총계(지배),"1,873","2,174","2,891","3,689","4,643","5,841"
  자본총계(비지배),,,,,,
자본금,74,74,74,71,71,71
영업활동현금흐름,177,224,"1,146","1,063","1,130","1,376"
투자활동현금흐름,24,-384,-919,-122,-130,-216
재무활동현금흐름,-9,73,40,-113,-118,-115
CAPEX,49,106,87,98,104,148
FCF,128,118,"1,059",905,990,"1,163"
이자발생부채,28,60,173,,,
영업이익률,10.93,11.87,21.11,22.95,23.76,24.72
순이익률,9.68,8.38,17.21,18.21,18.92,19.62
ROE(%),,11.00,30.30,27.05,25.20,24.84
ROA(%),,9.04,22.51,19.20,18.56,19.31
부채비율,19.59,23.56,42.96,36.22,30.25,27.40
자본유보율,"2,534.08","2,856.39","3,838.21",,,
EPS(원),"1,346","1,508","5,197","6,028","7,109","8,818"
PER(배),17.54,26.90,10.16,7.90,6.70,5.40
BPS(원),"13,228","14,836","19,776","25,316","31,863","40,082"
PBR(배),1.78,2.73,2.67,1.88,1.49,1.19
현금DPS(원),300,300,600,640,687,763
현금배당수익률,1.27,0.74,1.14,1.34,1.44,1.60
현금배당성향(%),28.37,19.75,11.43,10.62,9.66,8.66
발행주식수(보통주),"14,765,020","14,765,020","14,765,020",,,
