주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,905,"1,015","1,133","1,064","1,654"
영업이익,55,-4,-5,10,176
영업이익(발표기준),55,-4,-5,10,176
세전계속사업이익,78,0,3,2,185
당기순이익,62,0,3,2,145
  당기순이익(지배),62,0,3,2,145
  당기순이익(비지배),,,,,
자산총계,794,736,783,800,"1,084"
부채총계,146,120,172,174,317
자본총계,648,617,611,627,768
  자본총계(지배),648,617,611,627,768
  자본총계(비지배),,,,,
자본금,50,50,50,50,50
영업활동현금흐름,4,58,-14,49,-130
투자활동현금흐름,23,-61,12,-47,82
재무활동현금흐름,-5,1,27,5,45
CAPEX,2,5,0,,16
FCF,2,52,-14,49,-146
이자발생부채,0,8,40,49,98
영업이익률,6.12,-0.41,-0.46,0.98,10.63
순이익률,6.80,0.05,0.28,0.19,8.78
ROE(%),9.97,0.07,0.51,0.32,20.82
ROA(%),8.66,0.06,0.41,0.25,15.40
부채비율,22.46,19.42,28.15,27.71,41.27
자본유보율,"1,129.47","1,166.10","1,158.39","1,162.93","1,445.57"
EPS(원),615,5,31,20,"1,452"
PER(배),7.17,"2,156.74",170.50,241.63,4.02
BPS(원),"6,533","6,215","6,159","6,317","7,736"
PBR(배),0.68,1.63,0.87,0.76,0.75
현금DPS(원),70,50,30,30,50
현금배당수익률,1.59,0.50,0.56,0.62,0.86
현금배당성향(%),11.29,"1,059.36",95.22,149.53,3.42
발행주식수(보통주),"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
