주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,194,278,323
영업이익,,,22,40,37
영업이익(발표기준),,,22,40,37
세전계속사업이익,,,22,10,42
당기순이익,,,17,2,37
  당기순이익(지배),,,17,2,37
  당기순이익(비지배),,,,,
자산총계,,,155,298,401
부채총계,,,61,90,140
자본총계,,,94,208,261
  자본총계(지배),,,94,208,261
  자본총계(비지배),,,,,
자본금,,,11,20,21
영업활동현금흐름,,,19,44,43
투자활동현금흐름,,,-18,0,-12
재무활동현금흐름,,,-4,-9,-9
CAPEX,,,3,1,5
FCF,,0,17,43,38
이자발생부채,,0,15,27,82
영업이익률,,,11.16,14.42,11.34
순이익률,,,8.90,0.63,11.39
ROE(%),,,,1.17,15.70
ROA(%),,,,0.78,10.53
부채비율,,,64.46,43.22,53.73
자본유보율,,,767.92,925.04,"1,112.76"
EPS(원),,,189,9,182
PER(배),,,,316.31,26.05
BPS(원),,,478,"1,054","1,248"
PBR(배),,,,2.68,3.81
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"7,513,596","7,513,596","19,747,691","19,747,691","20,933,030"
