주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,,29,87,138,196,276,362,477
영업이익,,8,21,31,27,43,80,134
영업이익(발표기준),,8,21,31,27,,,
세전계속사업이익,,8,19,24,12,42,79,133
당기순이익,,8,18,21,11,33,61,104
  당기순이익(지배),,8,18,21,11,33,61,104
  당기순이익(비지배),,,,,,,,
자산총계,,32,86,193,249,,,
부채총계,,17,57,137,55,,,
자본총계,,15,29,56,193,,,
  자본총계(지배),,15,29,56,193,,,
  자본총계(비지배),,,,,,,,
자본금,,1,1,12,23,,,
영업활동현금흐름,,0,8,7,17,,,
투자활동현금흐름,,-7,-28,-52,-58,,,
재무활동현금흐름,,7,25,95,13,,,
CAPEX,,7,28,,55,,,
FCF,,-7,-20,7,-39,,,
이자발생부채,,10,21,65,37,,,
영업이익률,,28.05,24.32,22.38,13.79,15.58,22.10,28.09
순이익률,,26.35,21.15,15.19,5.52,11.96,16.85,21.80
ROE(%),,,85.24,49.17,8.67,,,
ROA(%),,,31.40,15.00,4.90,,,
부채비율,,117.05,198.97,242.40,28.63,,,
자본유보율,,954.52,"1,912.54",358.38,728.76,,,
EPS(원),,355,815,670,268,631,"1,138","1,940"
PER(배),,,,,,18.22,10.11,5.93
BPS(원),,659,"1,258","1,572","4,240",,,
PBR(배),,0.00,0.00,0.00,0.00,,,
현금DPS(원),0,0,0,0,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"1,977,600","2,202,304","2,286,472","2,386,472","4,561,072",,,
