주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,251,171,214,322,"1,176"
영업이익,123,80,85,172,832
영업이익(발표기준),123,80,85,172,832
세전계속사업이익,113,79,85,170,831
당기순이익,87,70,67,146,660
  당기순이익(지배),87,70,67,146,660
  당기순이익(비지배),0,0,0,0,0
자산총계,787,786,841,"1,004","1,988"
부채총계,77,32,44,85,471
자본총계,710,754,797,919,"1,517"
  자본총계(지배),710,754,797,919,"1,517"
  자본총계(비지배),,,,,
자본금,240,240,240,240,240
영업활동현금흐름,62,14,43,146,337
투자활동현금흐름,1,1,-6,-3,-30
재무활동현금흐름,-32,-29,-24,-24,-67
CAPEX,0,2,6,1,6
FCF,,,,,
이자발생부채,0,0,0,0,0
영업이익률,48.96,46.86,39.78,53.43,70.75
순이익률,34.71,41.01,31.47,45.43,56.11
ROE(%),12.87,9.59,8.70,17.04,54.18
ROA(%),11.90,8.93,8.30,15.85,44.11
부채비율,10.85,4.24,5.54,9.22,31.05
자본유보율,195.70,214.04,232.15,283.08,538.07
EPS(원),182,146,141,305,"1,375"
PER(배),13.70,13.85,13.80,8.52,3.86
BPS(원),"1,478","1,570","1,661","1,915","3,198"
PBR(배),1.68,1.29,1.17,1.35,1.66
현금DPS(원),60,50,50,100,200
현금배당수익률,2.41,2.47,2.58,3.85,3.77
현금배당성향(%),33.02,34.19,35.56,32.82,14.44
발행주식수(보통주),"48,000,000","48,000,000","48,000,000","48,000,000","48,000,000"
