주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,691,814,856,812,945,"1,086","1,359"
영업이익,40,75,86,77,79,103,152
영업이익(발표기준),40,75,86,77,79,,
세전계속사업이익,31,45,50,59,12,63,109
당기순이익,31,48,88,45,-3,65,99
  당기순이익(지배),43,48,88,39,-3,65,99
  당기순이익(비지배),-13,0,0,6,,,
자산총계,"1,835","2,300","2,404","2,621","3,169","3,306","3,517"
부채총계,"1,191","1,464","1,490","1,701","2,077","2,166","2,296"
자본총계,644,836,914,920,"1,092","1,140","1,221"
  자본총계(지배),650,842,920,920,"1,092","1,140","1,221"
  자본총계(비지배),-6,,-6,,,,
자본금,174,196,196,196,196,196,196
영업활동현금흐름,-440,-69,-301,-11,-252,-76,-114
투자활동현금흐름,5,-34,-21,2,-40,-4,-5
재무활동현금흐름,366,213,148,187,187,-17,-17
CAPEX,4,12,2,6,2,0,0
FCF,-445,-81,-302,-17,-255,-35,-76
이자발생부채,639,707,896,"1,115","1,135",,
영업이익률,5.75,9.19,10.11,9.52,8.33,9.49,11.19
순이익률,4.45,5.93,10.33,5.52,-0.30,5.99,7.29
ROE(%),7.36,6.49,10.04,4.24,-0.28,5.82,8.39
ROA(%),1.88,2.33,3.76,1.79,-0.10,2.01,2.90
부채비율,184.86,175.07,163.07,184.96,190.16,190.00,188.04
자본유보율,345.13,392.99,431.38,436.78,461.39,,
EPS(원),126,127,225,99,-7,166,252
PER(배),44.15,21.76,14.93,36.46,N/A,44.84,29.44
BPS(원),"1,879","2,222","2,427","2,427","2,784","2,906","3,112"
PBR(배),2.96,1.24,1.39,1.49,4.87,2.56,2.39
현금DPS(원),29,35,55,55,45,45,45
현금배당수익률,0.52,1.27,1.63,1.52,0.33,0.61,0.61
현금배당성향(%),23.21,27.40,23.58,53.42,-620.67,27.16,17.83
발행주식수(보통주),"35,925,842","39,229,838","39,229,838","39,229,838","39,229,838",,
