주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,258,309,470,456,647
영업이익,25,25,24,28,32
영업이익(발표기준),25,25,24,28,32
세전계속사업이익,18,20,-91,-60,-71
당기순이익,15,16,-83,-52,-81
  당기순이익(지배),15,16,-83,-52,-78
  당기순이익(비지배),,,,,-3
자산총계,491,"1,195",950,"1,464","1,481"
부채총계,231,821,449,676,398
자본총계,261,374,501,788,"1,083"
  자본총계(지배),261,374,501,788,"1,083"
  자본총계(비지배),,,,,0
자본금,26,32,47,72,94
영업활동현금흐름,67,53,102,151,84
투자활동현금흐름,-70,-643,133,-91,-117
재무활동현금흐름,3,705,-275,486,-68
CAPEX,71,138,153,44,56
FCF,-3,-85,-51,107,27
이자발생부채,153,732,351,360,262
영업이익률,9.60,8.08,5.07,6.12,4.94
순이익률,5.85,5.10,-17.60,-11.52,-12.56
ROE(%),5.98,3.58,-18.93,-8.15,-8.33
ROA(%),3.16,1.34,-7.72,-4.35,-5.52
부채비율,88.38,219.58,89.70,85.82,36.75
자본유보율,879.64,"1,064.73",951.44,992.88,"1,077.15"
EPS(원),288,269,"-1,108",-453,-494
PER(배),17.90,49.27,N/A,N/A,N/A
BPS(원),"4,949","5,859","5,276","5,477","5,840"
PBR(배),1.04,2.26,1.35,1.57,1.59
현금DPS(원),100,0,0,0,
현금배당수익률,1.94,0.00,0.00,0.00,
현금배당성향(%),34.85,0.00,0.00,0.00,
발행주식수(보통주),"5,271,046","6,381,046","9,491,112","14,387,896","18,896,166"
