주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,215,249,234,237,308
영업이익,8,6,4,1,1
영업이익(발표기준),8,6,4,1,1
세전계속사업이익,8,13,7,10,13
당기순이익,9,13,6,10,16
  당기순이익(지배),9,13,6,10,16
  당기순이익(비지배),,,,,
자산총계,317,340,356,384,442
부채총계,76,76,70,88,112
자본총계,241,264,286,296,331
  자본총계(지배),241,264,286,296,331
  자본총계(비지배),,,,,
자본금,33,33,33,33,42
영업활동현금흐름,10,-13,20,16,-15
투자활동현금흐름,-27,-8,-26,-9,-39
재무활동현금흐름,20,16,26,7,13
CAPEX,6,2,2,6,6
FCF,4,-14,19,10,-21
이자발생부채,37,37,38,39,41
영업이익률,3.59,2.34,1.59,0.43,0.26
순이익률,3.96,5.27,2.55,4.09,5.22
ROE(%),3.70,,2.17,3.33,5.14
ROA(%),2.81,,1.72,2.62,3.90
부채비율,31.42,28.88,24.36,29.68,33.83
자본유보율,757.33,819.36,875.61,899.65,740.94
EPS(원),102,157,71,116,193
PER(배),43.05,101.46,174.61,80.16,50.46
BPS(원),"3,178","3,453","3,693","3,824","4,208"
PBR(배),1.38,4.62,3.38,2.43,2.31
현금DPS(원),24,24,24,0,30
현금배당수익률,0.54,0.15,0.19,0.00,0.31
현금배당성향(%),20.42,13.37,29.91,0.00,14.63
발행주식수(보통주),"8,361,386","8,361,386","8,361,386","8,361,386","8,361,386"
