주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,449,477,538,504,715,871
영업이익,29,43,58,25,67,100
영업이익(발표기준),29,43,58,25,67,
세전계속사업이익,29,34,67,42,86,
당기순이익,26,28,53,39,63,
  당기순이익(지배),26,28,53,41,63,86
  당기순이익(비지배),,,,-2,0,
자산총계,702,819,893,926,"1,319",
부채총계,128,221,252,238,505,
자본총계,574,597,641,688,814,
  자본총계(지배),574,597,641,687,773,
  자본총계(비지배),,,,1,41,
자본금,37,37,37,38,40,
영업활동현금흐름,56,43,98,47,184,
투자활동현금흐름,-68,-114,-23,-47,-376,
재무활동현금흐름,8,72,-5,12,202,
CAPEX,68,45,75,54,40,
FCF,-12,-2,23,-8,143,
이자발생부채,96,173,197,197,401,
영업이익률,6.41,8.92,10.81,4.92,9.36,11.42
순이익률,5.83,5.79,9.86,7.75,8.84,
ROE(%),4.64,4.71,8.57,6.12,8.68,
ROA(%),3.82,3.63,6.20,4.30,5.63,
부채비율,22.32,37.03,39.39,34.52,62.08,
자본유보율,"1,735.27","1,798.35","1,915.99","1,948.88","2,072.56",
EPS(원),71,75,144,110,165,215
PER(배),24.35,17.15,12.32,19.24,23.07,16.91
BPS(원),"1,635","1,701","1,825","1,868","2,004",
PBR(배),1.06,0.76,0.98,1.13,1.90,
현금DPS(원),10,20,30,20,30,
현금배당수익률,0.58,1.55,1.69,0.95,0.79,
현금배당성향(%),13.40,25.44,19.86,8.69,18.25,
발행주식수(보통주),"36,706,455","36,706,455","36,706,455","38,387,127","39,997,771",
