주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,96,116,"2,162","3,231","3,531"
영업이익,-52,6,-42,52,56
영업이익(발표기준),-52,6,-42,52,56
세전계속사업이익,-131,-375,-140,-93,-296
당기순이익,-131,-375,-148,-117,-297
  당기순이익(지배),-131,-375,-96,-151,-299
  당기순이익(비지배),,,-52,34,2
자산총계,652,348,"1,674","1,924","2,162"
부채총계,352,134,"1,324","1,572","1,973"
자본총계,301,214,351,353,189
  자본총계(지배),301,214,259,309,170
  자본총계(비지배),,,92,44,18
자본금,231,335,373,530,620
영업활동현금흐름,-128,-115,-212,-175,0
투자활동현금흐름,-231,-80,2,-95,-446
재무활동현금흐름,360,203,219,268,445
CAPEX,2,24,5,2,4
FCF,-130,-139,-218,-177,-4
이자발생부채,292,106,669,701,969
영업이익률,-54.34,5.59,-1.95,1.60,1.60
순이익률,-135.97,-324.09,-6.84,-3.62,-8.40
ROE(%),-46.86,-145.70,,-53.33,-124.85
ROA(%),-25.14,-74.92,,-6.50,-14.52
부채비율,116.96,62.80,377.59,445.58,"1,046.78"
자본유보율,22.06,-37.12,-27.15,-24.72,-58.22
EPS(원),-294,-629,-135,-162,-248
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),585,319,347,291,137
PBR(배),3.92,2.01,5.68,3.85,7.58
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"51,391,231","66,979,149","74,630,202","106,022,578","123,957,822"
