주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,253,305,447,542,588
영업이익,41,31,52,202,210
영업이익(발표기준),41,31,52,202,210
세전계속사업이익,42,34,70,204,213
당기순이익,33,26,54,161,169
  당기순이익(지배),33,26,54,161,169
  당기순이익(비지배),,,,,
자산총계,167,191,369,494,"1,472"
부채총계,29,30,170,134,123
자본총계,138,161,200,360,"1,349"
  자본총계(지배),138,161,200,360,"1,349"
  자본총계(비지배),,,,,
자본금,13,13,13,13,17
영업활동현금흐름,45,27,99,132,179
투자활동현금흐름,-21,-53,-11,-10,-55
재무활동현금흐름,-2,-3,-5,-4,814
CAPEX,1,1,2,9,13
FCF,44,26,97,123,166
이자발생부채,0,0,8,10,5
영업이익률,16.10,10.02,11.67,37.35,35.74
순이익률,13.01,8.48,12.09,29.66,28.72
ROE(%),26.93,17.30,,57.37,19.75
ROA(%),22.59,14.44,,37.21,17.17
부채비율,21.32,18.46,84.98,37.15,9.12
자본유보율,959.66,"1,138.42","1,461.56","2,672.05","8,037.50"
EPS(원),253,199,416,"1,236","1,223"
PER(배),,,,,11.74
BPS(원),"1,060","1,238","1,536","2,772","7,976"
PBR(배),0.00,0.00,0.00,0.00,1.80
현금DPS(원),20,10,5,0,
현금배당수익률,,,,,
현금배당성향(%),7.90,5.03,1.20,0.00,
발행주식수(보통주),"13,000,000","13,000,000","13,000,000","13,000,000","17,330,000"
