주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,135","1,088","1,021",671,655
영업이익,-88,-9,5,-53,-29
영업이익(발표기준),-88,-9,5,-53,-29
세전계속사업이익,-183,-64,-1,-63,-40
당기순이익,-259,-62,-1,-68,-40
  당기순이익(지배),-259,-62,-1,-68,-40
  당기순이익(비지배),,,,,
자산총계,760,681,637,496,573
부채총계,494,472,411,339,453
자본총계,265,209,226,158,120
  자본총계(지배),265,209,226,158,120
  자본총계(비지배),,,,,
자본금,195,195,195,195,195
영업활동현금흐름,20,45,64,-7,-54
투자활동현금흐름,-18,34,-7,-2,-8
재무활동현금흐름,-17,-44,-49,-6,96
CAPEX,17,11,12,8,7
FCF,3,34,52,-15,-62
이자발생부채,243,207,188,179,210
영업이익률,-7.79,-0.81,0.44,-7.94,-4.43
순이익률,-22.84,-5.73,-0.09,-10.06,-6.06
ROE(%),-65.59,-26.23,,-35.22,-28.60
ROA(%),-28.27,-8.65,,-11.93,-7.43
부채비율,186.18,225.67,181.58,214.99,376.73
자본유보율,35.99,6.76,5.93,-27.33,-46.65
EPS(원),-666,-160,-2,-173,-102
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),681,537,581,404,308
PBR(배),1.71,1.26,1.03,2.79,5.18
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"38,955,668","38,955,668","38,955,668","38,955,668","39,013,649"
