주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,156,127,171,123,161
영업이익,2,-5,-6,-19,-40
영업이익(발표기준),2,-5,-6,-19,-40
세전계속사업이익,-17,-8,-85,-40,-52
당기순이익,-14,-6,-73,-67,-52
  당기순이익(지배),-14,-6,-72,-66,-50
  당기순이익(비지배),,,-1,-1,-1
자산총계,148,172,291,313,291
부채총계,88,156,138,208,193
자본총계,60,16,153,106,98
  자본총계(지배),60,16,150,103,96
  자본총계(비지배),,,3,3,2
자본금,24,16,19,20,22
영업활동현금흐름,3,4,2,-13,-34
투자활동현금흐름,-13,-8,71,-97,-22
재무활동현금흐름,8,14,10,72,30
CAPEX,1,0,2,7,6
FCF,2,4,0,-20,-41
이자발생부채,62,101,73,128,96
영업이익률,1.33,-4.15,-3.39,-15.32,-24.80
순이익률,-9.09,-4.62,-42.92,-54.81,-32.06
ROE(%),-21.22,,-87.25,-52.35,-50.66
ROA(%),-8.92,,-31.63,-22.27,-17.07
부채비율,147.82,995.44,90.13,196.25,198.02
자본유보율,149.16,-0.06,709.57,407.82,329.65
EPS(원),-84,-35,-398,-335,-233
PER(배),,,N/A,N/A,N/A
BPS(원),353,94,807,507,432
PBR(배),,,2.39,5.43,5.17
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"16,243,640","16,243,640","18,656,254","20,303,476","22,182,217"
