주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,144,173,132,48,76
영업이익,18,27,2,-26,-15
영업이익(발표기준),18,27,2,-26,-15
세전계속사업이익,-10,28,12,-30,-12
당기순이익,-11,26,11,-31,-13
  당기순이익(지배),-11,26,11,-31,-13
  당기순이익(비지배),,,0,0,0
자산총계,245,267,272,249,313
부채총계,27,15,26,14,10
자본총계,217,252,246,234,303
  자본총계(지배),217,252,246,234,303
  자본총계(비지배),,,0,,0
자본금,16,18,18,18,20
영업활동현금흐름,-11,29,7,-40,7
투자활동현금흐름,6,-41,-5,16,-52
재무활동현금흐름,-1,4,-10,25,80
CAPEX,1,6,2,6,2
FCF,-11,23,4,-45,5
이자발생부채,12,0,8,2,1
영업이익률,12.21,15.79,1.67,-52.84,-20.00
순이익률,-7.76,14.75,8.23,-63.02,-17.17
ROE(%),-6.15,10.89,4.38,-12.70,-4.91
ROA(%),-5.50,9.99,4.04,-11.72,-4.66
부채비율,12.59,5.80,10.45,6.15,3.39
자본유보율,"1,222.11","1,315.77","1,348.04","1,226.30","1,416.57"
EPS(원),-66,144,59,-166,-69
PER(배),N/A,12.98,74.41,N/A,N/A
BPS(원),"1,282","1,373","1,375","1,276","1,497"
PBR(배),2.35,1.36,3.21,3.59,4.01
현금DPS(원),22,28,13,0,
현금배당수익률,0.74,1.51,0.29,0.00,
현금배당성향(%),-33.95,20.20,20.67,0.00,
발행주식수(보통주),"16,964,829","18,357,210","18,357,210","18,357,210","20,348,454"
