주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,613,722,711,708,741,831
영업이익,186,293,284,310,366,465
영업이익(발표기준),186,293,284,310,366,
세전계속사업이익,200,313,309,330,372,473
당기순이익,161,245,241,255,296,376
  당기순이익(지배),161,245,241,255,296,376
  당기순이익(비지배),0,0,,,,
자산총계,"1,727","1,963","1,982","1,914","1,942",
부채총계,472,477,454,400,387,
자본총계,"1,256","1,487","1,528","1,514","1,555",
  자본총계(지배),"1,255","1,487","1,528","1,514","1,555",
  자본총계(비지배),0,,,,,
자본금,250,250,250,250,250,
영업활동현금흐름,294,367,343,338,372,
투자활동현금흐름,-101,138,-689,-326,603,
재무활동현금흐름,-13,-23,-234,-308,-293,
CAPEX,40,38,77,193,181,
FCF,254,330,265,145,191,
이자발생부채,269,258,228,189,151,
영업이익률,30.34,40.58,40.00,43.82,49.35,55.96
순이익률,26.22,33.90,33.93,36.06,40.02,45.25
ROE(%),13.60,17.86,16.00,16.79,19.32,
ROA(%),9.83,13.27,12.26,13.11,15.38,
부채비율,37.59,32.05,29.73,26.45,24.88,
자본유보율,402.59,495.14,511.65,505.99,522.29,
EPS(원),321,490,483,511,593,752
PER(배),16.53,15.60,20.58,18.46,14.54,11.14
BPS(원),"2,522","2,986","3,069","3,041","3,123",
PBR(배),2.11,2.56,3.24,3.10,2.76,
현금DPS(원),25,400,540,510,300,
현금배당수익률,0.47,5.24,5.44,5.41,3.48,
현금배당성향(%),7.75,81.32,111.43,99.42,50.37,
발행주식수(보통주),"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000",
