주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"1,153",932,432,"1,262","1,251"
영업이익,109,163,44,437,358
영업이익(발표기준),109,163,44,437,358
세전계속사업이익,90,175,58,393,405
당기순이익,75,139,46,304,315
  당기순이익(지배),75,139,46,304,315
  당기순이익(비지배),,,,,
자산총계,798,745,"1,080","1,575","1,863"
부채총계,308,138,445,587,569
자본총계,489,608,635,988,"1,294"
  자본총계(지배),489,608,635,988,"1,294"
  자본총계(비지배),,,,,
자본금,34,34,34,35,35
영업활동현금흐름,-75,69,212,359,222
투자활동현금흐름,-4,-62,-52,-40,-61
재무활동현금흐름,144,-87,-22,46,158
CAPEX,6,11,2,4,11
FCF,-81,58,209,355,211
이자발생부채,58,10,10,1,175
영업이익률,9.47,17.54,10.22,34.65,28.63
순이익률,6.53,14.95,10.76,24.09,25.15
ROE(%),20.13,25.39,7.48,37.44,
ROA(%),9.22,18.05,5.09,22.89,
부채비율,63.06,22.63,69.97,59.42,43.95
자본유보율,"1,270.94","1,658.79","1,780.12","2,623.73","3,491.26"
EPS(원),"1,318","1,980",661,"4,320","4,470"
PER(배),7.38,3.91,18.61,11.97,6.76
BPS(원),"6,951","9,064","9,598","14,220","18,620"
PBR(배),1.40,0.85,1.28,3.64,1.62
현금DPS(원),135,178,0,600,450
현금배당수익률,1.39,2.30,0.00,1.16,1.49
현금배당성향(%),12.61,8.57,0.00,13.72,9.94
발행주식수(보통주),"7,036,609","7,036,609","7,036,609","7,036,609","7,036,609"
