주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,271,234,250,345,194
영업이익,11,-1,8,-78,-27
영업이익(발표기준),11,-1,8,-78,-27
세전계속사업이익,8,-8,-61,-381,-62
당기순이익,7,-1,-51,-381,-62
  당기순이익(지배),7,-1,-51,-381,-62
  당기순이익(비지배),,,,,
자산총계,273,328,884,519,414
부채총계,53,109,259,459,35
자본총계,220,219,624,60,378
  자본총계(지배),220,219,624,60,378
  자본총계(비지배),,,,,
자본금,39,39,47,69,245
영업활동현금흐름,-31,40,-84,40,-66
투자활동현금흐름,-120,-60,-423,-14,102
재무활동현금흐름,126,47,562,-30,66
CAPEX,64,48,8,2,4
FCF,-95,-8,-92,38,-71
이자발생부채,34,80,105,393,9
영업이익률,3.89,-0.31,3.35,-22.69,-13.69
순이익률,2.53,-0.29,-20.31,-110.58,-31.86
ROE(%),4.20,,-12.02,-111.40,-28.19
ROA(%),3.20,,-8.37,-54.34,-13.24
부채비율,24.14,49.58,41.52,767.06,9.38
자본유보율,457.99,456.29,"1,221.58",-12.64,54.26
EPS(원),134,-11,-671,"-3,591",-156
PER(배),45.79,N/A,N/A,N/A,N/A
BPS(원),"3,477","3,472","8,234",544,772
PBR(배),1.77,4.41,0.98,8.38,5.90
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,319,505","6,319,505","7,583,406","11,010,318","49,045,134"
