주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,704,665,516,664,441
영업이익,64,56,-40,35,-66
영업이익(발표기준),64,56,-40,35,-66
세전계속사업이익,47,61,-39,-14,-106
당기순이익,73,52,-34,-12,-113
  당기순이익(지배),73,52,-32,-11,-110
  당기순이익(비지배),,,-2,-1,-3
자산총계,434,620,782,759,858
부채총계,300,296,479,429,610
자본총계,133,324,303,329,248
  자본총계(지배),133,324,297,324,253
  자본총계(비지배),,,6,5,-6
자본금,22,27,28,59,71
영업활동현금흐름,17,49,-11,50,-93
투자활동현금흐름,-30,-100,-149,-62,-123
재무활동현금흐름,33,168,178,10,130
CAPEX,17,51,139,38,94
FCF,0,-3,-151,12,-187
이자발생부채,117,148,316,319,314
영업이익률,9.07,8.48,-7.75,5.26,-14.89
순이익률,10.38,7.81,-6.54,-1.79,-25.50
ROE(%),130.72,,-10.37,-3.45,-37.94
ROA(%),19.94,,-4.81,-1.54,-13.92
부채비율,224.95,91.63,157.76,130.34,246.26
자본유보율,501.93,"1,100.12",965.26,427.01,265.13
EPS(원),"1,133",564,-294,-96,-771
PER(배),,8.38,N/A,N/A,N/A
BPS(원),"1,505","2,996","2,663","2,735","1,673"
PBR(배),0.00,1.58,2.01,2.55,5.71
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,870,918","10,798,918","11,158,858","11,853,448","14,117,333"
