주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,504,648,"1,026","1,035",956
영업이익,54,34,103,95,5
영업이익(발표기준),54,34,103,95,5
세전계속사업이익,43,28,82,61,-2
당기순이익,32,23,61,57,-11
  당기순이익(지배),32,23,61,57,-11
  당기순이익(비지배),,,,,
자산총계,503,611,"1,080","1,275","1,362"
부채총계,285,334,628,760,804
자본총계,217,277,452,515,558
  자본총계(지배),217,277,452,515,558
  자본총계(비지배),,,,,
자본금,34,40,47,48,48
영업활동현금흐름,65,23,85,-66,83
투자활동현금흐름,-18,-25,-235,-135,-185
재무활동현금흐름,-28,18,236,245,43
CAPEX,14,23,250,133,172
FCF,51,0,-165,-200,-89
이자발생부채,219,197,352,564,628
영업이익률,10.73,5.21,10.01,9.18,0.52
순이익률,6.42,3.61,5.94,5.52,-1.19
ROE(%),17.80,9.46,,11.82,-2.11
ROA(%),6.19,4.20,,4.85,-0.86
부채비율,131.38,120.61,138.73,147.77,143.99
자본유보율,713.51,756.19,"1,006.07","1,173.78","1,150.10"
EPS(원),440,278,693,557,-110
PER(배),,,11.37,56.49,N/A
BPS(원),"3,175","3,481","4,781","5,372","5,827"
PBR(배),0.00,0.00,1.78,6.31,3.13
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"7,378,679","8,586,883","10,206,525","10,334,897","10,334,897"
