주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,212,246,304,372,434,501,585
영업이익,33,40,21,-35,-10,29,55
영업이익(발표기준),33,40,21,-35,-10,,
세전계속사업이익,32,40,24,-98,-50,24,49
당기순이익,34,38,25,-88,-49,20,45
  당기순이익(지배),34,37,21,-101,-66,2,25
  당기순이익(비지배),1,1,4,13,16,,
자산총계,203,274,511,510,743,984,"1,041"
부채총계,44,71,283,168,382,403,416
자본총계,160,203,229,343,361,581,625
  자본총계(지배),158,195,217,313,311,513,537
  자본총계(비지배),2,,12,30,50,,
자본금,159,159,159,187,193,216,216
영업활동현금흐름,28,33,36,13,39,66,66
투자활동현금흐름,-38,-17,-37,-71,-48,-28,-26
재무활동현금흐름,-12,3,179,7,198,200,0
CAPEX,1,6,9,5,6,10,10
FCF,26,28,28,8,33,59,60
이자발생부채,4,2,155,52,218,,
영업이익률,15.64,16.35,6.97,-9.49,-2.28,5.79,9.40
순이익률,16.17,15.38,8.32,-23.58,-11.37,3.99,7.69
ROE(%),23.82,21.09,10.15,-38.05,-21.04,0.49,4.76
ROA(%),18.59,15.86,6.45,-17.15,-7.86,2.32,4.44
부채비율,27.34,35.16,123.65,48.89,105.80,69.36,66.56
자본유보율,39.57,62.89,76.72,69.07,62.09,,
EPS(원),106,117,66,-310,-172,5,65
PER(배),27.69,17.90,42.59,N/A,N/A,633.17,50.65
BPS(원),497,613,682,836,805,"1,327","1,389"
PBR(배),5.89,3.42,4.11,4.19,4.96,2.47,2.36
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"31,809,612","31,809,612","31,809,612","37,390,559","38,666,746",,
