주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,4,10,13,68,32
영업이익,-42,-49,-69,-55,-103
영업이익(발표기준),-42,-49,-69,-55,-103
세전계속사업이익,-41,-47,-63,-56,-111
당기순이익,-41,-47,-63,-56,-111
  당기순이익(지배),-41,-47,-63,-56,-111
  당기순이익(비지배),,,,,
자산총계,95,311,271,485,822
부채총계,4,8,23,25,405
자본총계,91,303,248,461,417
  자본총계(지배),91,303,248,461,417
  자본총계(비지배),,,,,
자본금,32,41,42,52,53
영업활동현금흐름,-37,-57,-52,-84,-76
투자활동현금흐름,-7,-192,-3,10,-338
재무활동현금흐름,37,272,5,260,417
CAPEX,2,5,7,17,86
FCF,-39,-61,-58,-101,-162
이자발생부채,0,0,11,9,306
영업이익률,"-1,025.57",-506.40,-532.94,-80.95,-316.91
순이익률,"-1,000.66",-481.71,-485.66,-82.36,-342.64
ROE(%),-45.29,-23.86,-22.72,-15.83,-25.26
ROA(%),-42.59,-23.14,-21.48,-14.83,-16.96
부채비율,4.36,2.77,9.41,5.33,97.23
자본유보율,163.34,621.80,475.93,767.72,671.10
EPS(원),-326,-341,-377,-317,-529
PER(배),,N/A,N/A,N/A,N/A
BPS(원),700,"1,859","1,483","2,209","1,978"
PBR(배),0.00,2.40,3.38,3.82,12.70
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,951,108","16,283,568","16,695,380","16,861,830","20,679,984"
