주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,427,513,622,489,763
영업이익,37,59,90,1,4
영업이익(발표기준),37,59,90,1,4
세전계속사업이익,12,25,82,-253,-11
당기순이익,22,36,85,-185,-28
  당기순이익(지배),22,36,85,-185,-28
  당기순이익(비지배),,,,,
자산총계,419,512,557,791,833
부채총계,194,245,186,279,326
자본총계,225,268,371,512,507
  자본총계(지배),225,268,371,512,507
  자본총계(비지배),,,,,
자본금,2,5,5,6,13
영업활동현금흐름,61,66,100,105,-12
투자활동현금흐름,-7,-79,-50,-260,11
재무활동현금흐름,-37,42,-71,180,-28
CAPEX,10,12,14,58,32
FCF,52,54,87,47,-44
이자발생부채,125,139,84,183,171
영업이익률,8.73,11.54,14.52,0.24,0.54
순이익률,5.13,6.92,13.66,-37.88,-3.64
ROE(%),10.19,14.42,26.62,-42.01,-5.45
ROA(%),5.39,7.88,15.89,-27.52,-3.42
부채비율,86.18,91.47,50.22,54.40,64.37
자본유보율,"12,847.78","5,485.26","7,184.67","7,593.77","3,577.40"
EPS(원),224,364,836,"-1,751",-219
PER(배),,,,N/A,N/A
BPS(원),"2,304","2,740","3,614","4,108","4,068"
PBR(배),0.00,0.00,0.00,6.61,4.36
현금DPS(원),0,0,0,0,100
현금배당수익률,,,,0.00,0.56
현금배당성향(%),0.00,0.00,0.00,0.00,-44.87
발행주식수(보통주),"9,764,617","9,764,617","10,252,847","12,662,272","12,662,272"
