주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,144,168,217,217,339,469,560,640
영업이익,39,30,37,54,103,114,147,166
영업이익(발표기준),39,30,37,54,103,,,
세전계속사업이익,39,10,37,33,107,,,
당기순이익,28,4,28,21,81,,,
  당기순이익(지배),26,3,28,21,81,82,97,110
  당기순이익(비지배),2,1,,,,,,
자산총계,296,335,377,504,"1,087",,,
부채총계,122,153,72,122,599,,,
자본총계,174,182,305,381,488,,,
  자본총계(지배),163,182,305,381,488,,,
  자본총계(비지배),11,,,,,,,
자본금,2,2,3,34,36,,,
영업활동현금흐름,40,44,111,98,59,,,
투자활동현금흐름,-51,-56,-86,-84,-447,,,
재무활동현금흐름,73,-4,-3,39,479,,,
CAPEX,1,0,1,0,4,,,
FCF,39,44,109,98,56,,,
이자발생부채,24,28,6,57,461,,,
영업이익률,26.98,17.80,16.92,24.71,30.40,24.31,26.25,25.94
순이익률,19.67,2.13,12.72,9.79,23.90,,,
ROE(%),,1.59,11.37,6.18,18.61,,,
ROA(%),,1.14,7.78,4.82,10.17,,,
부채비율,70.52,84.03,23.65,32.01,122.59,,,
자본유보율,"7,123.36","7,541.24","10,264.43","1,114.69","1,339.93",,,
EPS(원),89,9,88,61,230,229,271,308
PER(배),,,,38.39,12.99,12.89,10.89,9.61
BPS(원),557,610,858,"1,176","1,422",,,
PBR(배),,,,1.99,2.10,,,
현금DPS(원),7,0,0,10,15,,,
현금배당수익률,,,0.00,0.43,0.50,,,
현금배당성향(%),8.35,0.00,0.00,15.29,6.37,,,
발행주식수(보통주),"29,136,392","29,719,120","35,546,399","34,305,674","35,755,674",,,
