주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,50,105,89,77,118
영업이익,-18,11,-19,-33,-16
영업이익(발표기준),-18,11,-19,-33,-16
세전계속사업이익,-18,13,-7,-18,-17
당기순이익,-18,13,-7,-18,-17
  당기순이익(지배),-18,13,-7,-18,-17
  당기순이익(비지배),,,,,
자산총계,74,529,518,498,944
부채총계,30,38,37,31,494
자본총계,44,491,481,467,450
  자본총계(지배),44,491,481,467,450
  자본총계(비지배),,,,,
자본금,31,39,40,40,41
영업활동현금흐름,-1,10,-26,-17,1
투자활동현금흐름,9,-431,8,38,-172
재무활동현금흐름,,434,5,-2,426
CAPEX,2,3,22,14,4
FCF,-2,7,-48,-31,-3
이자발생부채,0,0,8,14,476
영업이익률,-36.22,10.29,-21.03,-43.00,-13.32
순이익률,-36.05,12.80,-7.85,-23.24,-14.27
ROE(%),-34.28,5.04,-1.44,,-3.67
ROA(%),-22.30,4.47,-1.33,,-2.34
부채비율,67.03,7.75,7.71,6.72,109.73
자본유보율,20.99,"1,137.24","1,089.47","1,047.66","1,004.43"
EPS(원),-295,199,-87,-223,-208
PER(배),,163.88,N/A,N/A,N/A
BPS(원),721,"6,349","6,076","5,854","5,635"
PBR(배),0.00,5.13,7.11,5.03,3.85
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,125,444","7,847,126","8,035,576","8,091,426","8,108,426"
