주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,321,380,600,598,948
영업이익,11,26,47,33,74
영업이익(발표기준),11,26,47,33,74
세전계속사업이익,10,21,38,26,23
당기순이익,10,17,32,35,9
  당기순이익(지배),10,19,33,34,6
  당기순이익(비지배),,-2,-2,1,3
자산총계,143,283,546,375,715
부채총계,51,265,399,200,254
자본총계,93,18,147,176,461
  자본총계(지배),93,19,142,172,453
  자본총계(비지배),,-1,4,4,8
자본금,37,32,39,39,46
영업활동현금흐름,31,57,-30,79,122
투자활동현금흐름,-24,-5,-33,-7,-156
재무활동현금흐름,-4,21,31,-25,170
CAPEX,4,1,7,2,2
FCF,28,56,-37,78,120
이자발생부채,18,155,314,67,40
영업이익률,3.36,6.94,7.81,5.51,7.83
순이익률,3.02,4.59,5.29,5.83,0.92
ROE(%),11.05,,41.34,21.55,1.92
ROA(%),6.99,,7.66,7.56,1.60
부채비율,54.89,"1,496.20",271.72,113.67,55.13
자본유보율,150.27,-19.77,263.47,349.65,863.05
EPS(원),131,247,427,434,66
PER(배),,,,,406.67
BPS(원),"1,252",240,"1,826","2,201","4,903"
PBR(배),0.00,0.00,0.00,0.00,5.47
현금DPS(원),0,0,0,0,100
현금배당수익률,,,,,0.37
현금배당성향(%),0.00,0.00,0.00,0.00,154.02
발행주식수(보통주),"6,089,145","6,489,145","7,800,014","7,800,014","9,239,014"
