주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,22,35,25,59,101
영업이익,-26,-17,-57,-50,-45
영업이익(발표기준),-26,-17,-57,-50,-45
세전계속사업이익,-48,-37,-59,-45,-47
당기순이익,-48,-38,-60,-45,-42
  당기순이익(지배),-48,-38,-60,-45,-42
  당기순이익(비지배),0,0,,,
자산총계,62,40,264,248,287
부채총계,173,185,23,51,114
자본총계,-111,-145,241,197,172
  자본총계(지배),-112,-146,241,197,172
  자본총계(비지배),,,,,
자본금,1,11,26,26,26
영업활동현금흐름,-23,-15,-58,-18,-60
투자활동현금흐름,-2,10,-203,43,-80
재무활동현금흐름,5,-7,268,-3,96
CAPEX,0,0,3,1,1
FCF,-23,-16,-60,-19,-61
이자발생부채,152,168,9,6,82
영업이익률,-119.28,-47.62,-225.42,-84.12,-45.05
순이익률,-215.38,-107.30,-234.59,-76.51,-41.44
ROE(%),,29.34,-125.73,-20.60,-22.57
ROA(%),,-73.75,-39.31,-17.61,-15.59
부채비율,-156.14,-127.30,9.58,25.99,66.27
자본유보율,"-22,145.79","-1,392.31",841.47,668.89,573.39
EPS(원),"-2,193","-1,674","-1,364",-867,-800
PER(배),,,N/A,N/A,N/A
BPS(원),"-5,036","-6,347","4,671","3,793","3,326"
PBR(배),0.00,0.00,3.83,3.30,14.73
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"2,032,000","2,124,000","5,183,811","5,209,811","5,209,811"
