주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,459,589,319,358,329
영업이익,-117,-41,-299,-19,-42
영업이익(발표기준),-117,-41,-299,-19,-42
세전계속사업이익,-119,-111,-371,-412,-97
당기순이익,-115,-116,-396,-616,-105
  당기순이익(지배),-116,-111,-379,-590,-100
  당기순이익(비지배),1,-5,-18,-26,-5
자산총계,"1,719","1,765","2,029","1,660","1,679"
부채총계,699,609,837,278,303
자본총계,"1,021","1,156","1,192","1,382","1,375"
  자본총계(지배),976,"1,069","1,174","1,391","1,375"
  자본총계(비지배),44,,17,-9,
자본금,369,492,884,"1,257","1,301"
영업활동현금흐름,-342,25,27,28,-22
투자활동현금흐름,52,-76,-976,-4,83
재무활동현금흐름,124,79,"1,034",93,203
CAPEX,25,13,28,3,5
FCF,-368,12,-1,25,-28
이자발생부채,539,489,414,114,218
영업이익률,-25.40,-7.04,-93.69,-5.22,-12.73
순이익률,-25.09,-19.67,-124.15,-172.13,-31.95
ROE(%),-11.22,-10.81,-33.76,-45.97,-7.25
ROA(%),-6.81,-6.64,-20.90,-33.41,-6.30
부채비율,68.45,52.69,70.21,20.14,22.06
자본유보율,166.70,120.50,32.95,11.67,5.05
EPS(원),-158,-139,-290,-276,-40
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,323","1,085",664,553,529
PBR(배),0.88,0.72,1.21,3.32,1.83
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"73,788,645","98,462,252","176,763,746","251,469,584","260,203,996"
