주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,653,743,794,581,899
영업이익,52,50,75,18,60
영업이익(발표기준),52,50,75,18,60
세전계속사업이익,52,17,68,14,163
당기순이익,42,12,55,11,155
  당기순이익(지배),42,12,55,11,154
  당기순이익(비지배),,,,,1
자산총계,296,433,548,549,747
부채총계,116,116,141,132,167
자본총계,181,316,407,417,580
  자본총계(지배),181,316,407,417,572
  자본총계(비지배),,,,,8
자본금,22,25,27,27,27
영업활동현금흐름,3,55,74,56,82
투자활동현금흐름,-18,-2,-94,-32,-24
재무활동현금흐름,5,8,-17,-19,-22
CAPEX,6,6,9,16,10
FCF,-3,48,65,40,72
이자발생부채,29,30,38,34,20
영업이익률,8.01,6.73,9.40,3.01,6.64
순이익률,6.50,1.63,6.98,1.87,17.19
ROE(%),26.68,4.87,15.33,2.63,
ROA(%),14.88,3.32,11.31,1.98,
부채비율,63.97,36.73,34.72,31.56,28.87
자본유보율,726.02,"1,261.82","1,526.33","1,567.04","2,148.47"
EPS(원),180,49,209,41,578
PER(배),,27.46,6.10,33.16,3.00
BPS(원),746,"1,257","1,588","1,630","2,234"
PBR(배),,1.07,0.80,0.83,0.78
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"22,706,300","25,189,535","26,636,713","26,636,713","26,636,713"
