주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,,122,378,405,671,"1,006","1,228"
영업이익,,22,65,41,73,154,204
영업이익(발표기준),,22,65,41,73,,
세전계속사업이익,,22,65,37,80,161,211
당기순이익,,19,55,49,74,148,194
  당기순이익(지배),,19,55,49,73,147,193
  당기순이익(비지배),,,,0,1,,
자산총계,,66,279,674,888,972,"1,200"
부채총계,,27,130,181,299,257,291
자본총계,,38,149,493,589,715,909
  자본총계(지배),,38,149,478,566,699,892
  자본총계(비지배),,,,15,23,,
자본금,,9,10,36,38,36,36
영업활동현금흐름,,18,50,71,56,170,202
투자활동현금흐름,,-8,-55,-299,-197,-141,-97
재무활동현금흐름,,-7,59,340,27,0,0
CAPEX,,8,47,189,293,100,70
FCF,,11,4,-118,-236,62,124
이자발생부채,,10,22,120,142,,
영업이익률,,18.12,17.25,10.14,10.85,15.31,16.61
순이익률,,15.27,14.67,12.14,11.04,14.71,15.80
ROE(%),,,59.19,15.65,14.01,23.24,24.26
ROA(%),,,32.18,10.32,9.49,15.91,17.86
부채비율,,71.10,87.28,36.71,50.77,35.94,32.01
자본유보율,,343.84,"1,401.20","1,186.28","1,380.01",,
EPS(원),,361,"1,042",786,976,"1,941","2,548"
PER(배),,,,20.09,29.49,9.53,7.26
BPS(원),,744,"2,593","6,573","7,471","9,319","11,892"
PBR(배),,0.00,0.00,2.40,3.85,1.99,1.56
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,,,,0.00,,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,
발행주식수(보통주),"5,168,700","5,168,700","5,742,312","7,264,943","7,575,065",,
