주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,62,80,186,166,202,289,415
영업이익,5,-8,43,17,11,59,103
영업이익(발표기준),5,-8,43,17,11,,
세전계속사업이익,3,-73,46,-23,9,56,97
당기순이익,3,-74,44,-18,8,46,82
  당기순이익(지배),3,-74,44,-18,8,46,82
  당기순이익(비지배),,,,,,,
자산총계,99,215,349,735,772,820,905
부채총계,59,106,103,487,511,513,517
자본총계,39,109,246,248,261,307,388
  자본총계(지배),39,109,246,248,261,307,388
  자본총계(비지배),,,,,,,
자본금,11,26,29,30,31,31,31
영업활동현금흐름,0,-3,32,26,-35,44,67
투자활동현금흐름,-12,-77,5,-437,29,4,2
재무활동현금흐름,28,85,81,367,5,5,5
CAPEX,8,50,21,88,46,0,0
FCF,-8,-53,11,-62,-81,44,67
이자발생부채,39,69,67,190,196,,
영업이익률,7.44,-10.45,23.11,10.12,5.56,20.41,24.82
순이익률,5.07,-92.21,23.52,-11.03,3.72,15.92,19.76
ROE(%),8.37,-99.19,24.53,,2.96,16.20,23.60
ROA(%),3.85,-47.04,15.46,,1.00,5.78,9.51
부채비율,150.55,96.55,41.92,196.39,195.80,167.10,133.25
자본유보율,264.79,306.17,707.42,689.60,741.44,,
EPS(원),73,"-1,503",832,-306,123,751,"1,338"
PER(배),,N/A,15.87,N/A,215.49,26.58,14.91
BPS(원),912,"2,118","4,229","4,071","4,259","5,010","6,332"
PBR(배),0.00,7.27,3.12,8.03,6.23,3.98,3.15
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"4,051,180","5,166,341","5,822,956","6,088,916","6,127,616",,
