주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,353,501,599,267,215
영업이익,57,67,85,-75,-77
영업이익(발표기준),57,67,85,-75,-77
세전계속사업이익,49,56,85,-75,-81
당기순이익,40,44,69,-62,-70
  당기순이익(지배),40,44,69,-62,-70
  당기순이익(비지배),,,,,
자산총계,180,414,583,494,516
부채총계,54,29,126,93,152
자본총계,126,385,458,401,364
  자본총계(지배),126,385,458,401,364
  자본총계(비지배),,,,,
자본금,27,39,39,39,39
영업활동현금흐름,40,19,73,-87,19
투자활동현금흐름,-9,-135,-34,-55,52
재무활동현금흐름,-11,161,79,-13,73
CAPEX,5,38,125,7,3
FCF,35,-19,-52,-94,16
이자발생부채,19,0,94,78,133
영업이익률,16.04,13.33,14.10,-27.99,-35.84
순이익률,11.32,8.77,11.47,-23.21,-32.47
ROE(%),37.74,,16.33,-14.43,-18.28
ROA(%),24.97,,13.79,-11.50,-13.85
부채비율,42.74,7.61,27.46,23.17,41.77
자본유보율,359.44,884.48,"1,065.08",911.86,810.19
EPS(원),666,575,883,-789,-886
PER(배),,17.37,13.71,N/A,N/A
BPS(원),"2,106","4,955","5,855","5,086","4,611"
PBR(배),0.00,2.01,2.07,1.71,1.73
현금DPS(원),0,0,0,,
현금배당수익률,,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,454,546","7,761,300","7,818,100","7,885,500","7,885,500"
