주요재무정보,"2018/03
(IFRS연결)","2019/03
(IFRS연결)","2020/03
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,97,66,58,523,356
영업이익,-29,-37,-27,1,-53
영업이익(발표기준),-29,-37,-27,1,-53
세전계속사업이익,-57,-59,-134,-180,158
당기순이익,-57,-107,-137,-180,157
  당기순이익(지배),-51,-60,-125,-179,161
  당기순이익(비지배),-7,-47,-12,-1,-4
자산총계,418,392,550,517,788
부채총계,110,122,72,109,113
자본총계,309,270,478,409,675
  자본총계(지배),374,340,490,412,666
  자본총계(비지배),-65,-70,-11,-3,9
자본금,139,164,295,295,314
영업활동현금흐름,-10,-67,-25,-23,-69
투자활동현금흐름,-69,23,-7,78,-56
재무활동현금흐름,-3,83,4,72,3
CAPEX,34,1,2,2,6
FCF,-44,-68,-27,-25,-75
이자발생부채,32,48,27,50,50
영업이익률,-29.64,-56.58,-46.54,0.20,-14.89
순이익률,-59.22,-163.50,-238.15,-34.29,43.98
ROE(%),-13.30,-16.70,-30.04,-39.66,29.91
ROA(%),-13.84,-26.42,-29.09,-33.63,24.01
부채비율,35.51,45.30,15.02,26.54,16.74
자본유보율,136.03,119.31,84.23,60.56,125.66
EPS(원),-364,-379,-753,-606,545
PER(배),N/A,N/A,N/A,N/A,11.28
BPS(원),"2,696","2,079","1,664","1,431","2,171"
PBR(배),1.38,1.02,1.47,2.07,2.83
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"13,903,900","16,417,365","29,471,487","29,471,487","31,376,241"
