주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,233,239,246,327,473,590
영업이익,42,37,33,54,103,125
영업이익(발표기준),42,37,33,54,103,
세전계속사업이익,42,36,37,54,104,
당기순이익,34,29,30,43,88,97
  당기순이익(지배),34,29,30,43,88,97
  당기순이익(비지배),,,,,,
자산총계,143,155,180,240,316,
부채총계,34,17,12,27,44,
자본총계,109,138,169,213,271,
  자본총계(지배),109,138,169,213,271,
  자본총계(비지배),,,,,,
자본금,0,0,0,0,3,
영업활동현금흐름,35,23,28,51,82,
투자활동현금흐름,-22,-3,-1,-18,-126,
재무활동현금흐름,-4,-16,-3,-1,-33,
CAPEX,19,1,0,16,6,
FCF,15,22,28,35,76,
이자발생부채,19,3,0,2,7,
영업이익률,18.23,15.38,13.39,16.46,21.82,21.19
순이익률,14.53,12.09,12.41,13.30,18.52,16.44
ROE(%),,23.33,19.87,22.80,36.23,
ROA(%),,19.34,18.15,20.69,31.56,
부채비율,30.88,12.50,6.93,12.82,16.34,
자본유보율,"21,762.11","27,534.89","33,631.29","42,048.03","10,609.47",
EPS(원),"1,353","1,155","1,219","1,736","3,480","2,824"
PER(배),,,,,,11.51
BPS(원),"4,372","5,527","6,746","8,439","10,768",
PBR(배),0.00,0.00,0.00,0.00,0.00,
현금DPS(원),0,0,0,0,"2,400",
현금배당수익률,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,68.97,
발행주식수(보통주),"2,500,000","2,500,000","2,500,000","2,518,500","2,518,500",
