주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,269,416,328,448,430
영업이익,27,66,33,53,-34
영업이익(발표기준),27,66,33,53,-34
세전계속사업이익,17,61,30,52,-65
당기순이익,12,53,27,47,-46
  당기순이익(지배),12,53,27,47,-46
  당기순이익(비지배),,,,,
자산총계,182,286,341,327,559
부채총계,133,183,212,149,109
자본총계,50,103,129,179,449
  자본총계(지배),50,103,129,179,449
  자본총계(비지배),,,,,
자본금,2,2,2,2,41
영업활동현금흐름,22,31,75,-17,-77
투자활동현금흐름,-39,-27,-8,0,-91
재무활동현금흐름,22,-3,-4,-5,194
CAPEX,31,24,2,2,6
FCF,-8,7,73,-19,-83
이자발생부채,95,97,70,68,22
영업이익률,10.12,15.93,10.21,11.81,-7.87
순이익률,4.41,12.80,8.18,10.49,-10.65
ROE(%),27.11,,23.02,30.54,-14.59
ROA(%),7.34,,8.54,14.07,-10.34
부채비율,266.96,176.56,163.91,83.23,24.33
자본유보율,"2,382.25","5,083.21","6,372.80","8,030.94",982.12
EPS(원),212,952,461,770,-597
PER(배),,,,,N/A
BPS(원),887,"1,848","2,124","2,917","5,421"
PBR(배),0.00,0.00,0.00,0.00,2.44
현금DPS(원),18,18,"2,500",0,
현금배당수익률,,,,,
현금배당성향(%),8.44,1.88,3.73,0.00,
발행주식수(보통주),"5,600,000","5,600,000","5,600,000","5,640,000","8,288,520"
