주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,461","1,233","1,083","1,200","2,426","3,011","3,585"
영업이익,-67,29,5,-105,64,194,251
영업이익(발표기준),-67,29,5,-105,64,,
세전계속사업이익,-54,193,12,-135,-4,184,224
당기순이익,-51,177,13,-135,-11,138,
  당기순이익(지배),-51,177,13,-153,-18,118,168
  당기순이익(비지배),,,,18,7,,
자산총계,755,787,824,"1,143","1,359",,
부채총계,490,347,381,864,904,,
자본총계,266,441,443,278,456,,
  자본총계(지배),266,441,443,280,447,,
  자본총계(비지배),,,,-2,9,,
자본금,405,405,405,405,320,,
영업활동현금흐름,105,193,122,12,50,,
투자활동현금흐름,-41,-82,-9,-178,-273,,
재무활동현금흐름,-98,-29,-24,34,50,,
CAPEX,3,3,1,24,1,,
FCF,101,190,120,-12,49,,
이자발생부채,47,18,14,143,37,,
영업이익률,-4.58,2.35,0.42,-8.77,2.64,6.44,7.00
순이익률,-3.50,14.35,1.21,-11.23,-0.47,4.58,
ROE(%),-18.59,50.09,2.96,-42.16,-5.00,,
ROA(%),-5.72,22.94,1.62,-13.69,-0.92,,
부채비율,184.31,78.61,86.00,310.61,198.27,,
자본유보율,-39.43,8.95,9.54,-30.69,39.87,,
EPS(원),-109,376,28,-324,-34,184,263
PER(배),N/A,3.14,56.91,N/A,N/A,6.02,4.23
BPS(원),564,936,941,595,699,,
PBR(배),2.00,1.26,1.68,2.04,1.36,,
현금DPS(원),0,0,0,0,,,
현금배당수익률,0.00,0.00,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"47,086,877","47,086,877","47,086,877","47,086,877","63,964,034",,
