주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,559,741,705,616,499
영업이익,29,34,48,37,-76
영업이익(발표기준),29,34,48,37,-76
세전계속사업이익,28,33,41,-23,-74
당기순이익,22,26,32,-23,-68
  당기순이익(지배),22,26,32,-23,-62
  당기순이익(비지배),,,,,-6
자산총계,93,286,322,412,654
부채총계,41,186,200,206,506
자본총계,52,100,122,206,149
  자본총계(지배),52,100,122,206,151
  자본총계(비지배),,,,,-2
자본금,18,38,38,50,93
영업활동현금흐름,-6,18,47,7,-101
투자활동현금흐름,-5,-191,12,8,-225
재무활동현금흐름,14,173,-43,-26,320
CAPEX,1,169,16,11,279
FCF,-7,-150,30,-5,-381
이자발생부채,0,150,139,143,426
영업이익률,5.21,4.62,6.82,5.94,-15.32
순이익률,3.95,3.49,4.57,-3.66,-13.69
ROE(%),68.93,,29.02,-13.73,-34.99
ROA(%),34.83,,10.59,-6.14,-12.80
부채비율,79.76,187.04,163.25,99.98,340.14
자본유보율,180.85,180.30,255.87,339.85,78.13
EPS(원),26,29,36,-25,-69
PER(배),,,,N/A,N/A
BPS(원),59,110,135,230,167
PBR(배),,,,6.88,4.66
현금DPS(원),2,4,8,6,0
현금배당수익률,,,0.71,0.35,0.00
현금배당성향(%),8.33,14.49,23.17,-22.11,
발행주식수(보통주),"88,132,362","90,349,287","90,349,287","90,349,287","92,679,035"
