주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,205","4,907","5,399","5,984","7,698","8,313","8,938","9,595"
영업이익,817,566,725,870,503,662,811,"1,005"
영업이익(발표기준),817,566,725,870,503,,,
세전계속사업이익,703,618,307,531,278,456,640,822
당기순이익,565,474,132,279,247,400,512,661
  당기순이익(지배),565,474,132,279,247,396,513,661
  당기순이익(비지배),,,,,,,,
자산총계,"5,269","4,451","16,257","16,147","18,375","17,775","19,495","20,142"
부채총계,"1,524","1,454","9,134","8,714","6,865","6,923","7,160","7,197"
자본총계,"3,744","2,997","7,123","7,432","11,510","11,032","11,342","11,913"
  자본총계(지배),"3,744","2,997","7,123","7,432","11,510","11,856","12,271","12,846"
  자본총계(비지배),,,,,,,,
자본금,100,100,100,111,145,142,142,142
영업활동현금흐름,899,218,"1,031",541,268,194,"1,169","1,193"
투자활동현금흐름,84,-2,-969,153,"-1,671",-411,-408,-364
재무활동현금흐름,-440,"-1,229",12,-782,"1,760",-272,-275,-412
CAPEX,170,120,465,939,241,364,319,261
FCF,729,98,566,-398,27,-531,982,"1,074"
이자발생부채,600,600,"7,426","6,982","5,134",,,
영업이익률,15.70,11.53,13.42,14.54,6.54,7.97,9.08,10.47
순이익률,10.86,9.65,2.45,4.66,3.21,4.81,5.73,6.89
ROE(%),16.34,14.06,,3.83,2.61,3.39,4.25,5.27
ROA(%),10.97,9.75,,1.72,1.43,2.21,2.75,3.34
부채비율,40.72,48.51,128.23,117.25,59.65,62.76,63.13,60.41
자본유보율,"3,635.35","2,864.66","1,394.60","1,499.00","3,948.64",,,
EPS(원),"2,548","2,135",596,"1,257",980,"1,370","1,774","2,287"
PER(배),,,,,53.55,28.80,22.24,17.25
BPS(원),"16,874","13,507","32,102","33,496","39,819","41,851","43,315","45,346"
PBR(배),0.00,0.00,0.00,0.00,1.32,0.94,0.91,0.87
현금DPS(원),"5,453","4,534","2,253",0,320,320,320,320
현금배당수익률,,,,,0.61,0.81,0.81,0.81
현금배당성향(%),213.98,212.35,378.29,0.00,21.63,23.36,18.04,13.99
발행주식수(보통주),"22,188,920","22,188,920","22,188,920","11,251,420","28,904,499",,,
