주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,34,42,63,333,48
영업이익,0,-9,-35,45,-27
영업이익(발표기준),0,-9,-35,45,-27
세전계속사업이익,0,-12,-91,18,-31
당기순이익,0,-10,-84,7,-54
  당기순이익(지배),0,-10,-82,-37,-54
  당기순이익(비지배),,,-2,43,
자산총계,111,310,862,901,350
부채총계,17,204,602,572,289
자본총계,94,106,259,329,62
  자본총계(지배),94,106,96,123,62
  자본총계(비지배),,,164,206,
자본금,16,47,50,54,57
영업활동현금흐름,-10,2,-30,63,52
투자활동현금흐름,10,-145,-213,37,-52
재무활동현금흐름,-10,199,269,-14,-91
CAPEX,0,1,2,8,7
FCF,-10,2,-32,55,45
이자발생부채,10,187,431,299,231
영업이익률,0.36,-20.44,-55.38,13.40,-55.82
순이익률,0.47,-22.98,-132.69,1.96,-113.56
ROE(%),0.17,-9.64,,-33.41,-95.74
ROA(%),0.13,-4.58,,0.74,-14.96
부채비율,17.97,192.43,232.19,173.83,468.57
자본유보율,499.18,125.94,85.34,117.26,-3.72
EPS(원),2,-103,-847,-363,-476
PER(배),"3,729.19",N/A,N/A,N/A,N/A
BPS(원),999,"1,130",955,"1,141",539
PBR(배),6.24,4.74,5.07,5.78,4.09
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,381,540","9,381,540","10,046,564","10,799,645","11,443,863"
