주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,417,512,604,467,657
영업이익,18,14,78,-120,5
영업이익(발표기준),18,14,78,-120,5
세전계속사업이익,-25,5,22,-165,1
당기순이익,-32,6,4,-136,1
  당기순이익(지배),-32,6,4,-133,6
  당기순이익(비지배),,,0,-4,-5
자산총계,596,801,930,905,"1,159"
부채총계,494,630,582,629,836
자본총계,102,171,348,276,323
  자본총계(지배),102,171,348,268,315
  자본총계(비지배),,,0,9,9
자본금,37,38,45,74,74
영업활동현금흐름,-19,-6,46,-40,-6
투자활동현금흐름,-107,-26,-46,25,-171
재무활동현금흐름,145,9,38,3,194
CAPEX,103,24,17,50,83
FCF,-121,-30,29,-90,-89
이자발생부채,383,426,390,430,587
영업이익률,4.20,2.74,12.94,-25.63,0.71
순이익률,-7.69,1.26,0.73,-29.18,0.19
ROE(%),-21.05,4.98,1.70,-43.01,2.08
ROA(%),-5.50,0.91,0.51,-14.85,0.12
부채비율,484.67,368.63,167.05,227.67,258.50
자본유보율,195.23,334.39,665.43,324.06,395.61
EPS(원),-282,53,34,-908,41
PER(배),,,,N/A,216.50
BPS(원),855,"1,363","2,394","1,882","2,211"
PBR(배),,,,4.82,4.03
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),-0.31,1.55,0.00,0.00,
발행주식수(보통주),"11,721,134","12,346,059","14,554,155","14,757,891","14,757,890"
