주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,365,349,209,279,215
영업이익,-14,-60,-47,1,-78
영업이익(발표기준),-14,-60,-47,1,-78
세전계속사업이익,486,-147,-172,-94,376
당기순이익,337,-145,-164,-97,284
  당기순이익(지배),378,-145,-161,-95,285
  당기순이익(비지배),-41,,-3,-2,0
자산총계,970,634,790,719,845
부채총계,214,191,295,314,182
자본총계,756,443,495,405,663
  자본총계(지배),756,443,498,410,662
  자본총계(비지배),,,-4,-5,1
자본금,128,128,128,129,129
영업활동현금흐름,-52,-93,8,-7,-27
투자활동현금흐름,132,-139,20,-14,235
재무활동현금흐름,-112,101,-27,31,-176
CAPEX,12,1,1,0,1
FCF,-64,-94,7,-7,-28
이자발생부채,0,107,166,219,37
영업이익률,-3.83,-17.04,-22.67,0.43,-36.26
순이익률,92.39,-41.38,-78.65,-34.62,132.19
ROE(%),60.93,-24.10,,-20.91,53.11
ROA(%),36.28,-18.01,,-12.81,36.38
부채비율,28.31,43.08,59.67,77.46,27.46
자본유보율,509.26,289.37,303.63,231.23,452.46
EPS(원),"1,321",-566,-632,-368,"1,102"
PER(배),2.80,N/A,N/A,N/A,2.86
BPS(원),"2,964","1,789","2,007","1,636","2,637"
PBR(배),1.25,2.25,2.19,2.43,1.19
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"25,514,093","25,514,093","25,575,083","25,826,362","25,826,362"
