주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,379","3,246","3,924","3,219","6,061","10,944","15,177","15,639"
영업이익,178,369,544,49,580,"1,050","1,728","1,700"
영업이익(발표기준),178,369,544,49,580,,,
세전계속사업이익,74,366,528,-22,451,914,"1,578","1,320"
당기순이익,63,323,490,-58,386,831,"1,446","1,134"
  당기순이익(지배),54,301,486,-55,386,832,"1,448","1,137"
  당기순이익(비지배),9,22,3,-3,,,,
자산총계,"2,592","4,378","5,630","6,921","10,500","12,706","15,264","16,512"
부채총계,"1,379","2,161","2,961","4,501","6,898","7,267","8,242","8,668"
자본총계,"1,213","2,217","2,669","2,419","3,602","5,440","7,022","7,844"
  자본총계(지배),"1,187","2,169","2,635","2,419","3,602","5,440","7,022","7,844"
  자본총계(비지배),26,,34,,,,,
자본금,31,90,90,90,94,104,104,114
영업활동현금흐름,-80,705,-185,-361,-53,338,866,"1,404"
투자활동현금흐름,-356,"-1,444",-613,"-1,107","-1,185",-316,-412,-765
재무활동현금흐름,500,791,810,"1,424","1,260",926,-36,-68
CAPEX,362,"1,473",624,"1,105","1,203",324,420,776
FCF,-442,-768,-809,"-1,465","-1,256",20,450,639
이자발생부채,916,"1,058","2,167","3,356","4,400",,,
영업이익률,7.50,11.36,13.86,1.52,9.57,9.59,11.39,10.87
순이익률,2.65,9.96,12.48,-1.81,6.37,7.59,9.53,7.25
ROE(%),5.64,17.95,20.25,-2.18,12.83,18.41,23.23,15.30
ROA(%),2.59,9.28,9.79,-0.93,4.43,7.16,10.34,7.14
부채비율,113.72,97.50,110.96,186.09,191.52,133.60,117.37,110.50
자본유보율,"3,517.17","2,220.82","2,728.83","2,782.57","3,478.22",,,
EPS(원),212,970,"1,344",-152,"1,045","2,215","3,852","3,025"
PER(배),37.82,8.95,10.73,N/A,20.69,8.26,4.75,6.05
BPS(원),"4,329","5,991","7,279","6,682","9,584","14,474","18,686","20,872"
PBR(배),1.85,1.45,1.98,3.79,2.26,1.26,0.98,0.88
현금DPS(원),23,100,150,0,150,225,225,150
현금배당수익률,0.28,1.15,1.04,0.00,0.69,1.23,1.23,0.82
현금배당성향(%),11.60,12.02,11.16,0.00,14.60,10.16,5.84,4.96
발행주식수(보통주),"27,425,137","36,201,332","36,201,332","36,201,332","37,580,642",,,
