주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,408,449,272,486,372,961
영업이익,79,60,-33,120,48,197
영업이익(발표기준),79,60,-33,120,48,
세전계속사업이익,71,64,-28,100,63,205
당기순이익,62,57,-16,81,56,172
  당기순이익(지배),62,57,-16,81,56,172
  당기순이익(비지배),,,,,,
자산총계,540,511,642,640,888,"1,302"
부채총계,271,250,267,208,379,615
자본총계,268,261,375,432,509,687
  자본총계(지배),268,261,375,432,509,687
  자본총계(비지배),,,,,,
자본금,9,9,38,38,38,38
영업활동현금흐름,22,112,-49,138,-46,-53
투자활동현금흐름,2,-10,94,-2,-169,-20
재무활동현금흐름,-1,-40,15,-79,163,142
CAPEX,1,11,5,2,26,19
FCF,21,100,-54,136,-71,-69
이자발생부채,209,184,203,138,303,
영업이익률,19.37,13.38,-12.25,24.69,13.04,20.50
순이익률,15.31,12.62,-5.76,16.60,15.18,17.90
ROE(%),27.65,20.41,-4.94,20.01,11.99,28.76
ROA(%),12.67,10.35,-2.72,12.60,7.38,15.71
부채비율,101.19,95.90,71.15,48.06,74.46,89.52
자본유보율,"2,620.53","2,812.00",937.59,"1,140.11","1,324.38",
EPS(원),189,171,-43,215,150,450
PER(배),,,N/A,16.80,24.12,9.16
BPS(원),809,787,"1,019","1,193","1,401","1,850"
PBR(배),,,1.33,3.03,2.58,2.23
현금DPS(원),6,0,10,20,15,25
현금배당수익률,,0.00,0.74,0.55,0.41,0.61
현금배당성향(%),0.32,0.00,-23.43,8.98,9.66,5.59
발행주식수(보통주),"33,141,514","33,141,514","37,536,388","37,575,588","37,677,501",
