주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,480","1,470",833,782,794
영업이익,140,133,20,115,163
영업이익(발표기준),140,133,20,115,163
세전계속사업이익,97,139,23,102,198
당기순이익,78,107,10,53,152
  당기순이익(지배),78,107,10,53,152
  당기순이익(비지배),,,,,
자산총계,991,888,717,"1,200","1,251"
부채총계,553,338,164,622,498
자본총계,438,550,553,578,753
  자본총계(지배),438,550,553,578,753
  자본총계(비지배),,,,,
자본금,84,84,84,84,84
영업활동현금흐름,-37,348,78,125,254
투자활동현금흐름,-130,0,-72,-380,-96
재무활동현금흐름,205,-228,-41,256,-185
CAPEX,137,14,40,84,29
FCF,-174,334,38,42,225
이자발생부채,251,24,0,248,91
영업이익률,9.43,9.05,2.44,14.66,20.59
순이익률,5.27,7.29,1.15,6.79,19.12
ROE(%),19.27,21.73,1.74,9.39,22.81
ROA(%),10.00,11.42,1.19,5.54,12.38
부채비율,126.43,61.52,29.67,107.78,66.11
자본유보율,427.97,556.04,547.50,600.91,772.14
EPS(원),466,640,57,317,906
PER(배),14.14,4.37,67.05,9.15,4.67
BPS(원),"2,619","3,289","3,307","3,456","4,505"
PBR(배),2.52,0.85,1.16,0.84,0.94
현금DPS(원),0,100,50,50,150
현금배당수익률,0.00,3.57,1.31,1.72,3.54
현금배당성향(%),0.00,15.58,87.34,15.74,16.52
발행주식수(보통주),"16,748,240","16,748,240","16,748,240","16,748,240","16,748,240"
