주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,790,819,965,"1,006",982
영업이익,33,20,33,59,0
영업이익(발표기준),33,20,33,59,0
세전계속사업이익,57,40,45,70,29
당기순이익,46,30,35,55,23
  당기순이익(지배),46,30,35,55,23
  당기순이익(비지배),,,,,
자산총계,845,857,942,935,968
부채총계,153,147,205,165,170
자본총계,692,710,737,770,798
  자본총계(지배),692,710,737,770,798
  자본총계(비지배),,,,,
자본금,42,42,42,42,42
영업활동현금흐름,-8,-10,28,57,44
투자활동현금흐름,-20,-17,90,-66,-39
재무활동현금흐름,-8,-8,-7,-25,-14
CAPEX,3,14,3,8,9
FCF,-11,-24,25,49,35
이자발생부채,0,0,2,6,7
영업이익률,4.19,2.44,3.38,5.85,-0.01
순이익률,5.87,3.65,3.62,5.42,2.31
ROE(%),6.86,4.26,4.83,7.24,2.89
ROA(%),5.54,3.51,3.88,5.82,2.38
부채비율,22.11,20.72,27.85,21.43,21.31
자본유보율,"1,547.49","1,603.78","1,663.11","1,771.63","1,803.20"
EPS(원),552,355,416,649,269
PER(배),9.34,15.59,13.11,8.26,20.94
BPS(원),"8,238","8,448","8,763","9,525","9,871"
PBR(배),0.63,0.66,0.62,0.56,0.57
현금DPS(원),90,55,90,120,60
현금배당수익률,1.75,0.99,1.65,2.24,1.06
현금배당성향(%),16.32,15.47,21.65,17.78,21.42
발행주식수(보통주),"8,404,800","8,404,800","8,404,800","8,404,800","8,404,800"
