주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,393,372,438,572,641
영업이익,-15,6,-2,-7,-7
영업이익(발표기준),-15,6,-2,-7,-7
세전계속사업이익,28,5,-24,9,36
당기순이익,11,-87,36,-14,18
  당기순이익(지배),13,-87,36,-22,3
  당기순이익(비지배),-2,0,0,8,15
자산총계,364,438,457,446,472
부채총계,149,315,270,258,256
자본총계,215,122,187,189,216
  자본총계(지배),217,124,173,165,172
  자본총계(비지배),-1,-2,14,24,44
자본금,124,124,124,124,124
영업활동현금흐름,-27,14,-33,-20,-68
투자활동현금흐름,69,-13,41,-109,94
재무활동현금흐름,-43,0,14,96,51
CAPEX,3,1,1,3,5
FCF,-30,13,-34,-23,-73
이자발생부채,8,8,19,108,66
영업이익률,-3.70,1.58,-0.43,-1.30,-1.11
순이익률,2.81,-23.43,8.12,-2.39,2.77
ROE(%),6.22,-50.96,24.18,-12.71,1.51
ROA(%),2.90,-21.73,7.94,-3.03,3.87
부채비율,69.03,257.68,144.00,136.52,118.86
자본유보율,83.12,22.46,73.95,57.98,61.51
EPS(원),53,-350,145,-87,10
PER(배),82.45,N/A,23.39,N/A,515.79
BPS(원),874,501,700,665,693
PBR(배),4.97,6.19,4.85,5.16,7.62
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"24,779,836","24,779,836","24,779,836","24,779,836","24,779,836"
