주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,206,207,311,376,368
영업이익,18,9,76,102,31
영업이익(발표기준),18,9,76,102,31
세전계속사업이익,30,30,64,96,44
당기순이익,27,29,50,85,35
  당기순이익(지배),27,29,50,85,38
  당기순이익(비지배),,,,,-3
자산총계,288,309,471,872,898
부채총계,88,80,192,208,182
자본총계,200,230,280,665,716
  자본총계(지배),200,230,280,665,711
  자본총계(비지배),,,,,5
자본금,10,10,22,27,28
영업활동현금흐름,-6,14,73,67,-83
투자활동현금흐름,-33,-34,-15,-117,-108
재무활동현금흐름,54,12,-3,314,-35
CAPEX,9,7,13,120,174
FCF,-15,6,60,-53,-257
이자발생부채,47,58,142,157,93
영업이익률,8.51,4.24,24.52,27.19,8.47
순이익률,13.04,14.21,16.06,22.68,9.47
ROE(%),16.60,13.71,19.60,18.04,5.47
ROA(%),11.01,9.87,11.34,12.68,3.94
부채비율,43.78,34.65,68.56,31.23,25.50
자본유보율,"1,809.81","2,090.89","1,192.24","2,354.71","2,467.56"
EPS(원),646,703,"1,183","1,828",686
PER(배),,,,10.06,20.55
BPS(원),"4,775","5,477","6,483","12,300","12,802"
PBR(배),0.00,0.00,0.00,1.50,1.10
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"2,433,340","2,433,340","4,313,170","5,403,683","5,555,243"
