주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,402,414,447,370,400
영업이익,50,50,77,41,41
영업이익(발표기준),50,50,77,41,41
세전계속사업이익,39,50,70,33,43
당기순이익,38,45,59,36,35
  당기순이익(지배),38,45,59,36,35
  당기순이익(비지배),,,,,
자산총계,655,728,822,851,836
부채총계,184,226,281,280,240
자본총계,470,502,541,571,596
  자본총계(지배),470,502,541,571,596
  자본총계(비지배),,,,,
자본금,40,40,51,51,51
영업활동현금흐름,53,56,58,37,50
투자활동현금흐름,-24,-109,-77,-26,-12
재무활동현금흐름,-1,27,26,3,-46
CAPEX,16,94,78,23,7
FCF,37,-38,-21,14,43
이자발생부채,130,166,212,232,197
영업이익률,12.36,12.14,17.31,11.20,10.22
순이익률,9.42,10.88,13.29,9.87,8.79
ROE(%),8.43,9.27,11.40,6.56,6.02
ROA(%),6.00,6.52,7.67,4.36,4.17
부채비율,39.20,45.10,51.91,49.00,40.30
자본유보율,"1,233.06","1,320.45","1,117.09","1,176.00","1,225.90"
EPS(원),396,444,586,360,347
PER(배),16.60,11.96,14.26,20.40,19.88
BPS(원),"5,138","5,546","6,036","6,369","6,651"
PBR(배),1.28,0.96,1.39,1.15,1.04
현금DPS(원),103,119,170,100,120
현금배당수익률,1.57,2.24,2.03,1.36,1.74
현금배당성향(%),24.25,23.18,25.63,24.57,30.61
발행주식수(보통주),"10,138,184","10,138,184","10,138,184","10,138,184","10,138,184"
