주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,747,809,885,"1,111","1,343"
영업이익,16,19,33,20,26
영업이익(발표기준),16,19,33,20,26
세전계속사업이익,11,11,-1,17,30
당기순이익,8,9,0,15,26
  당기순이익(지배),8,9,0,15,26
  당기순이익(비지배),,,,,
자산총계,694,851,"1,065","1,062","1,059"
부채총계,418,520,719,702,622
자본총계,276,331,346,360,437
  자본총계(지배),276,331,346,360,437
  자본총계(비지배),,,,,
자본금,24,24,26,26,32
영업활동현금흐름,14,2,132,75,-14
투자활동현금흐름,-20,-81,-185,-24,-24
재무활동현금흐름,5,93,70,7,-48
CAPEX,19,78,186,25,44
FCF,-4,-76,-54,50,-58
이자발생부채,182,260,336,348,257
영업이익률,2.15,2.36,3.69,1.84,1.97
순이익률,1.12,1.06,0.00,1.37,1.91
ROE(%),3.10,2.84,0.00,4.32,6.44
ROA(%),1.24,1.11,0.00,1.43,2.42
부채비율,151.30,157.04,207.82,195.22,142.23
자본유보율,678.02,683.13,695.19,731.17,822.95
EPS(원),349,359,0,585,832
PER(배),22.94,27.39,"33,025.44",15.82,11.56
BPS(원),"11,504","13,790","13,552","13,796","13,714"
PBR(배),0.70,0.71,0.75,0.67,0.70
현금DPS(원),60,60,60,60,60
현금배당수익률,0.75,0.61,0.59,0.65,0.62
현금배당성향(%),17.20,16.73,"20,112.62",10.27,7.46
발행주식수(보통주),"2,400,000","2,400,000","2,553,860","2,607,711","3,189,166"
