주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,352","1,366","1,459","1,612","1,884"
영업이익,-124,-10,-110,88,113
영업이익(발표기준),-124,-10,-110,88,113
세전계속사업이익,-249,-329,-12,-239,-174
당기순이익,-236,-284,-60,-238,-230
  당기순이익(지배),-149,-227,19,-228,-146
  당기순이익(비지배),-87,-58,-79,-10,-84
자산총계,"2,081","1,878","2,567","2,121","2,688"
부채총계,"1,004",977,"1,520","1,305","1,431"
자본총계,"1,077",901,"1,046",816,"1,258"
  자본총계(지배),936,768,922,677,"1,197"
  자본총계(비지배),141,,125,139,61
자본금,242,248,265,265,376
영업활동현금흐름,-152,-133,-109,251,99
투자활동현금흐름,-76,-82,-490,114,-204
재무활동현금흐름,257,62,613,-179,467
CAPEX,36,172,104,106,61
FCF,-189,-305,-212,145,38
이자발생부채,655,632,"1,116",848,669
영업이익률,-9.15,-0.77,-7.53,5.49,5.99
순이익률,-17.46,-20.82,-4.13,-14.78,-12.21
ROE(%),-15.47,-26.58,2.26,-28.57,-15.63
ROA(%),-10.81,-14.37,-2.71,-10.16,-9.57
부채비율,93.20,108.51,145.32,159.91,113.73
자본유보율,283.75,204.95,245.48,156.05,216.12
EPS(원),-307,-466,38,-431,-239
PER(배),N/A,N/A,58.83,N/A,N/A
BPS(원),"1,935","1,551","1,745","1,282","1,593"
PBR(배),1.98,1.61,1.27,1.31,1.26
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"48,498,486","49,624,189","52,922,234","52,922,234","75,241,358"
