주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,329,418,520,712,852,"1,089","1,418"
영업이익,60,57,80,150,176,272,392
영업이익(발표기준),60,57,80,150,176,,
세전계속사업이익,50,62,84,107,88,260,385
당기순이익,45,56,85,100,91,246,360
  당기순이익(지배),45,56,85,100,91,246,360
  당기순이익(비지배),,,,,,,
자산총계,371,432,605,"1,044","1,339","1,589","1,998"
부채총계,65,71,161,513,438,612,682
자본총계,306,361,444,531,901,978,"1,316"
  자본총계(지배),306,361,444,531,901,978,"1,316"
  자본총계(비지배),,,,,,,
자본금,33,33,33,33,34,34,34
영업활동현금흐름,27,39,16,125,108,243,279
투자활동현금흐름,33,-32,9,-149,-38,-39,-48
재무활동현금흐름,-1,-4,-20,266,-24,-14,-14
CAPEX,7,8,12,146,25,25,46
FCF,20,31,3,-21,83,180,188
이자발생부채,0,0,20,254,182,,
영업이익률,18.34,13.60,15.46,21.03,20.62,24.98,27.65
순이익률,13.82,13.38,16.37,13.98,10.66,22.54,25.36
ROE(%),15.95,16.78,21.14,20.43,12.69,26.13,31.34
ROA(%),13.11,13.94,16.40,12.07,7.62,16.77,20.04
부채비율,21.32,19.69,36.39,96.71,48.56,62.56,51.80
자본유보율,838.21,989.94,"1,224.44","1,500.13","2,519.36",,
EPS(원),694,844,"1,277","1,493","1,355","3,541","5,181"
PER(배),43.37,47.75,31.75,63.29,112.91,31.07,21.23
BPS(원),"4,636","5,434","6,656","7,996","13,125","14,148","19,055"
PBR(배),6.49,7.42,6.09,11.82,11.66,7.77,5.77
현금DPS(원),80,100,120,180,250,260,275
현금배당수익률,0.27,0.25,0.30,0.19,0.16,0.24,0.25
현금배당성향(%),11.60,11.88,9.40,12.00,18.90,7.35,5.31
발행주식수(보통주),"6,591,055","6,646,055","6,665,055","6,668,855","6,898,303",,
